Time,Delta Time,X,Y,Z
513922,0,350,318,444
514022,100,362,322,457
514123,101,340,317,462
514225,102,349,292,511
513922,-303,350,318,444
514022,100,362,322,457
514123,101,340,317,462
514225,102,349,292,511
0,-514225,365,374,397
100,100,341,371,405
201,101,305,361,407
303,102,298,353,460
404,101,308,343,499
504,100,338,329,483
606,102,373,308,515
707,101,396,309,509
808,101,420,331,470
909,101,408,346,436
1010,101,378,362,408
1112,102,354,376,399
1213,101,315,367,399
1314,101,293,346,445
1415,101,281,349,469
1516,101,328,307,516
1617,101,354,290,515
1719,102,400,298,500
1820,101,441,320,478
1922,102,417,336,433
2022,100,377,369,377
2123,101,370,375,417
2225,102,307,364,401
2326,101,304,343,460
2427,101,280,327,471
2528,101,346,291,556
2629,101,373,292,526
2731,102,409,314,496
2832,101,427,329,479
2933,101,374,334,427
3034,101,376,356,410
3135,101,348,383,391
3236,101,284,361,390
3338,102,264,349,420
3439,101,243,347,445
3539,100,289,306,532
3641,102,353,299,524
3742,101,390,305,508
3844,102,418,330,489
3945,101,393,340,435
4046,101,366,370,372
4147,101,328,376,386
4248,101,273,358,408
4349,101,275,331,461
4451,102,262,324,478
4552,101,362,284,537
4653,101,390,300,506
4754,101,455,316,488
4855,101,425,334,430
4957,102,381,360,383
5058,101,361,371,388
5158,100,297,339,388
5260,102,284,359,428
5361,101,291,324,499
5463,102,328,278,521
5564,101,411,258,557
5665,101,460,311,486
5766,101,417,321,423
5867,101,390,361,390
5968,101,349,379,387
6070,102,317,361,405
6171,101,309,346,451
6272,101,279,331,472
6373,101,321,286,528
6474,101,413,272,539
6576,102,445,292,503
6677,101,418,312,448
6777,100,403,340,419
6879,102,367,368,398
6980,101,326,362,407
7081,101,298,355,405
7183,102,302,326,490
7284,101,326,319,475
7385,101,367,288,493
7486,101,421,274,527
7587,101,431,301,489
7689,102,417,308,468
7790,101,400,347,406
7890,100,359,374,380
7992,102,321,368,387
8093,101,281,353,409
8195,102,283,344,453
8296,101,322,306,529
8396,100,375,309,517
8498,102,395,302,519
8599,101,421,318,482
8700,101,402,339,440
8802,102,373,350,408
8903,101,359,368,404
9004,101,320,365,385
9105,101,311,371,401
9206,101,293,338,471
9308,102,322,323,509
9409,101,352,303,494
9509,100,405,287,524
9611,102,413,301,492
9712,101,417,327,446
9814,102,397,343,420
9915,101,361,364,374
10015,100,311,359,386
10117,102,306,370,421
10218,101,295,344,474
10319,101,345,320,490
10421,102,386,281,521
10522,101,393,288,496
10624,102,423,292,492
10725,101,427,322,439
10825,100,373,340,389
10927,102,344,366,383
11028,101,328,361,385
11129,101,280,328,453
11231,102,304,331,488
11332,101,373,288,539
11433,101,370,272,505
11534,101,416,291,506
11635,101,430,314,473
11737,102,416,344,423
11838,101,371,338,403
11939,101,336,349,400
12041,102,289,352,418
12142,101,285,321,452
12242,100,304,333,495
12344,102,368,293,533
12445,101,384,280,520
