Time,Delta Time,X,Y,Z
4754,0,370,316,445
4855,101,342,317,456
4957,102,304,273,547
4653,-304,378,320,436
4754,101,370,316,445
4855,101,342,317,456
4957,102,304,273,547
4653,-304,378,320,436
4754,101,370,316,445
4855,101,342,317,456
4957,102,304,273,547
0,-4957,412,285,587
100,100,471,328,487
201,101,420,361,388
303,102,372,370,351
404,101,326,372,356
504,100,266,329,420
606,102,282,298,554
707,101,413,272,627
808,101,501,331,532
909,101,448,341,420
1010,101,414,352,349
1112,102,329,348,360
1213,101,291,346,397
1314,101,241,288,500
1415,101,305,296,521
1516,101,492,295,582
1617,101,467,329,483
1719,102,423,361,369
1820,101,374,355,346
1922,102,314,352,372
2022,100,275,327,430
2123,101,328,309,534
2225,102,447,288,606
2326,101,447,317,511
2427,101,459,339,409
2528,101,388,356,341
2629,101,331,340,371
2731,102,246,321,392
2832,101,245,297,476
2933,101,340,258,610
3034,101,459,289,584
3135,101,469,336,444
3236,101,404,349,371
3338,102,359,347,352
3439,101,271,339,381
3539,100,247,314,490
3641,102,332,280,592
3742,101,490,272,628
3844,102,490,349,459
3945,101,417,358,388
4046,101,390,355,351
4147,101,286,346,355
4248,101,276,319,433
4349,101,269,256,574
4451,102,405,269,568
4552,101,503,321,517
4653,101,484,341,424
4754,101,417,349,357
4855,101,341,353,355
4957,102,286,336,386
5058,101,259,320,419
5158,100,315,277,544
5260,102,455,275,607
5361,101,479,316,495
5463,102,444,346,393
5564,101,412,350,342
5665,101,309,349,332
5766,101,234,304,399
5867,101,245,277,521
5968,101,377,248,569
6070,102,484,292,554
6171,101,472,322,455
6272,101,421,374,326
6373,101,340,367,310
6474,101,261,329,377
6576,102,245,275,510
6677,101,322,257,601
6777,100,487,296,580
6879,102,479,330,478
6980,101,442,358,398
7081,101,387,357,345
7183,102,300,334,347
7284,101,275,293,412
7385,101,247,272,526
7486,101,429,302,602
7587,101,497,335,533
7689,102,440,347,419
7790,101,388,359,335
7890,100,305,343,334
7992,102,264,310,404
8093,101,212,276,489
8195,102,341,275,575
8296,101,463,327,546
8397,101,488,355,452
8498,101,414,359,375
8599,101,353,357,343
8700,101,284,336,375
8802,102,274,307,431
8903,101,289,301,530
9004,101,453,310,585
9105,101,481,353,483
9206,101,445,366,367
9308,102,373,351,340
9409,101,294,340,345
9509,100,239,291,425
9611,102,239,261,532
9712,101,504,302,620
9814,102,504,354,460
