Time,Delta Time,X,Y,Z
16595,0,362,319,455
16697,102,358,321,448
16798,101,370,314,454
16900,102,379,320,454
0,-16900,372,305,462
100,100,358,297,476
201,101,385,310,472
303,102,405,320,470
404,101,399,325,461
504,100,377,341,435
606,102,360,357,427
707,101,342,360,418
808,101,344,361,423
909,101,321,351,442
1010,101,318,349,448
1112,102,320,344,456
1213,101,338,333,463
1314,101,343,301,485
1415,101,367,285,488
1516,101,378,293,477
1617,101,381,287,482
1719,102,390,304,478
1820,101,394,311,471
1922,102,396,325,456
2022,100,376,339,440
2123,101,365,354,422
2225,102,351,360,432
2326,101,349,362,441
2427,101,332,364,436
2528,101,332,353,436
2629,101,313,342,460
2731,102,316,349,436
2832,101,313,329,461
2933,101,333,328,461
3034,101,344,306,457
3135,101,359,293,479
3236,101,363,288,482
3338,102,363,296,473
3439,101,369,295,478
3540,101,385,318,466
3641,101,375,327,449
3742,101,374,340,441
3844,102,360,354,425
3945,101,350,364,429
4046,101,332,361,429
4147,101,311,348,458
4248,101,327,360,447
4349,101,312,356,447
4451,102,325,327,473
4552,101,338,332,463
4653,101,342,319,465
4754,101,360,311,474
4855,101,356,301,485
4957,102,362,301,476
5058,101,377,317,467
5158,100,393,331,467
5260,102,380,339,440
5361,101,374,346,438
5463,102,361,375,427
5564,101,354,375,428
5665,101,342,367,419
5766,101,332,344,431
5867,101,303,332,458
5968,101,325,350,452
6070,102,327,328,480
6171,101,346,296,495
6272,101,359,284,503
6373,101,367,312,469
6474,101,377,305,468
6576,102,398,318,483
6677,101,399,320,476
6778,101,378,342,429
6879,101,387,348,449
6980,101,373,358,437
7081,101,361,371,426
7183,102,336,366,416
7284,101,344,366,429
7385,101,319,336,457
7486,101,313,336,455
7587,101,300,325,449
7689,102,325,304,455
7790,101,349,287,478
7890,100,369,271,484
7992,102,388,284,482
8093,101,393,297,468
8195,102,401,309,462
8296,101,381,322,455
8396,100,390,331,452
8498,102,361,358,423
8599,101,346,367,425
8700,101,351,364,437
8802,102,336,354,425
8903,101,308,347,441
9004,101,306,333,462
9105,101,311,317,453
9206,101,321,290,477
9308,102,338,262,481
9409,101,354,275,484
9509,100,374,288,470
9611,102,398,301,474
9712,101,390,312,469
9814,102,377,324,441
9915,101,373,338,438
10016,101,362,348,435
10117,101,341,365,417
10218,101,359,356,441
10319,101,315,357,401
10421,102,311,350,433
10522,101,309,340,450
10624,102,294,327,463
10725,101,320,311,477
10825,100,334,296,481
10927,102,371,266,511
11028,101,362,282,475
11129,101,376,289,477
11231,102,391,308,462
11332,101,375,320,457
11433,101,381,343,437
11534,101,370,363,425
11635,101,336,367,412
11737,102,334,365,414
11838,101,306,351,429
11939,101,319,339,462
12041,102,323,331,458
12142,101,343,309,492
12242,100,343,289,493
12344,102,371,288,474
12445,101,365,278,478
12547,102,381,301,473
12648,101,387,303,482
12749,101,390,318,445
12851,102,386,327,447
12951,100,369,343,428
13052,101,351,364,420
13154,102,339,356,428
13255,101,315,352,420
13357,102,300,336,430
13458,101,310,342,440
13559,101,288,319,462
13660,101,326,304,466
13761,101,374,282,476
13862,101,357,288,462
13964,102,372,294,470
14065,101,401,303,483
14167,102,397,314,460
14268,101,384,338,427
