Time,Delta Time,X,Y,Z
195512,0,297,346,508
195613,101,342,319,516
195715,102,353,322,455
195816,101,366,327,5
195512,-304,297,346,508
195613,101,342,319,516
195715,102,353,322,455
195816,101,366,327,5
195512,-304,297,346,508
195613,101,342,319,516
195715,102,353,322,455
100,-195615,354,310,463
201,101,366,315,472
303,102,383,328,473
404,101,378,334,466
504,100,386,344,453
606,102,362,347,442
707,101,366,362,426
808,101,368,368,438
909,101,333,356,427
1010,101,327,360,432
1112,102,327,350,444
1213,101,315,346,444
1314,101,309,332,457
1415,101,319,312,477
1516,101,346,312,478
1617,101,362,311,474
1719,102,343,306,467
1820,101,362,307,482
1922,102,374,326,476
2022,100,371,338,457
2123,101,372,352,445
2225,102,363,363,429
2326,101,349,363,434
2427,101,341,367,436
2528,101,331,372,441
2629,101,319,365,440
2731,102,317,356,438
2832,101,289,341,446
2933,101,321,325,453
3034,101,340,311,497
3135,101,350,307,475
3236,101,363,297,489
3338,102,384,305,490
3439,101,399,321,475
3539,100,392,332,457
3641,102,371,358,433
3742,101,364,366,425
3844,102,368,373,426
3945,101,346,373,420
4046,101,337,371,431
4147,101,312,354,443
4248,101,317,347,463
4349,101,320,357,439
4451,102,340,333,487
4552,101,369,310,504
4653,101,361,309,471
4754,101,394,310,470
4855,101,414,317,485
4957,102,413,326,480
5058,101,392,348,446
5158,100,372,361,428
5260,102,365,365,423
5361,101,351,373,421
5463,102,334,367,435
5564,101,317,371,432
5665,101,298,361,437
5766,101,300,349,438
5867,101,300,332,463
5968,101,376,323,506
6070,102,358,312,482
6171,101,372,309,482
6272,101,395,313,480
6373,101,398,330,463
6474,101,397,338,455
6576,102,393,361,428
6677,101,389,365,426
6777,100,356,372,419
6879,102,348,376,426
6980,101,321,372,434
7081,101,306,371,437
7183,102,333,362,454
7284,101,335,357,450
7385,101,313,334,466
7486,101,333,323,476
7587,101,351,316,473
7689,102,369,301,479
7790,101,379,307,482
7890,100,407,321,475
7992,102,404,333,463
8093,101,383,345,432
8195,102,398,367,427
8296,101,377,373,422
8396,100,350,377,435
8498,102,335,377,433
8599,101,318,377,423
8700,101,313,364,430
8802,102,315,346,472
8903,101,332,340,487
9004,101,354,320,495
9105,101,367,308,472
9206,101,371,297,468
9308,102,379,300,475
9409,101,406,319,473
9509,100,410,325,460
9611,102,403,347,432
9712,101,402,361,428
9814,102,381,369,421
9915,101,351,375,420
10015,100,342,373,433
10117,102,315,364,433
10218,101,323,354,450
10319,101,313,341,470
10421,102,324,330,467
10522,101,368,314,498
10624,102,356,317,463
10724,100,370,307,469
10825,101,390,308,495
10927,102,410,322,476
11028,101,401,338,451
11129,101,393,358,416
11231,102,374,367,409
11332,101,374,378,428
11433,101,351,377,418
11534,101,315,373,428
11635,101,287,354,434
11737,102,314,358,453
11838,101,327,332,486
11939,101,354,314,509
12041,102,361,300,497
12142,101,357,299,474
12242,100,387,311,472
12344,102,411,321,463
12445,101,403,331,447
12547,102,417,345,441
12648,101,363,365,400
12749,101,355,377,429
12851,102,342,377,421
12951,100,302,382,412
13052,101,326,360,459
13154,102,306,335,469
13255,101,325,334,471
13357,102,361,328,484
13458,101,358,303,480
13559,101,378,300,475
13660,101,386,305,473
13761,101,402,313,480
13862,101,394,333,441
13964,102,399,349,456
14065,101,399,357,439
14167,102,368,364,410
14268,101,356,378,417
14368,100,326,375,416
14470,102,353,374,439
14571,101,312,363,448
14672,101,303,348,479
14774,102,324,336,475
14875,101,366,320,503
14977,102,366,308,493
15077,100,368,304,497
15178,101,401,318,492
15280,102,379,323,453
15381,101,410,340,448
15482,101,397,357,431
15584,102,373,370,417
15685,101,381,379,416
15785,100,352,388,423
15887,102,327,379,416
15988,101,320,366,419
16090,102,330,367,458
16191,101,329,352,476
16292,101,345,345,476
16394,102,368,324,499
16494,100,373,317,472
16595,101,371,308,479
16697,102,401,322,470
16798,101,405,325,461
16900,102,402,351,441
17001,101,397,359,433
17102,101,384,370,413
17203,101,377,385,414
17304,101,358,379,417
17405,101,320,372,422
17507,102,343,368,464
17608,101,327,363,464
17710,102,340,353,468
17811,101,338,324,475
17911,100,385,319,469
18013,102,403,301,479
18114,101,381,298,469
18215,101,430,310,470
18317,102,409,311,468
18418,101,406,341,434
18520,102,403,355,427
18620,100,391,355,429
18721,101,369,372,426
18823,102,346,376,428
18924,101,316,372,424
19025,101,297,372,416
19127,102,315,350,460
19228,101,311,322,483
19329,101,349,301,516
19430,101,394,295,491
19531,101,363,301,464
19633,102,412,291,497
19734,101,441,309,467
19835,101,426,320,440
19937,102,398,348,404
20037,100,374,362,431
20139,102,383,375,434
20240,101,359,389,404
20341,101,329,377,419
20443,102,295,354,462
20544,101,342,354,457
20645,101,355,339,469
20746,101,388,311,480
20847,101,395,271,488
20948,101,393,294,459
21050,102,429,305,471
21151,101,435,318,454
21253,102,410,343,432
21354,101,381,361,407
21454,100,368,364,425
21556,102,354,373,429
21657,101,319,377,433
21758,101,330,361,442
21860,102,328,350,456
21961,101,339,342,457
22063,102,345,332,450
22163,100,365,308,470
22264,101,416,288,495
22366,102,395,288,469
22467,101,435,304,459
22568,101,435,307,465
22670,102,430,329,440
22771,101,402,355,402
22872,101,377,354,420
22973,101,366,367,429
23074,101,348,370,424
23176,102,321,367,425
23277,101,338,363,455
23378,101,309,346,470
23480,102,338,337,462
23580,100,367,328,468
23682,102,382,300,483
23783,101,378,297,468
23884,101,393,298,473
23986,102,446,314,480
24087,101,419,323,457
24188,101,401,350,426
24289,101,396,360,429
24390,101,369,366,419
24492,102,358,369,429
24593,101,357,382,430
24694,101,337,366,444
24796,102,352,359,455
24897,101,348,349,461
24997,100,365,341,458
25099,102,381,317,488
25200,101,396,315,475
25302,102,393,303,469
25403,101,410,304,467
25504,101,424,315,471
25606,102,429,327,457
25706,100,405,347,434
25807,101,410,355,437
25909,102,387,363,427
26010,101,373,375,425
26112,102,353,370,429
26213,101,355,380,433
26314,101,332,365,450
26415,101,343,360,453
26516,101,343,357,452
26617,101,350,335,455
26719,102,361,311,496
26820,101,393,304,489
26921,101,389,304,466
27023,102,415,305,465
27123,100,422,311,467
27225,102,441,330,446
27326,101,406,350,424
27427,101,393,365,430
27529,102,384,368,420
27630,101,362,377,424
27731,101,351,380,429
27832,101,341,373,434
27933,101,343,366,442
28035,102,342,352,468
28136,101,326,345,467
28237,101,344,318,483
28339,102,379,303,498
28440,101,389,296,490
28540,100,395,306,472
28642,102,409,308,464
28743,101,427,321,461
28845,102,417,339,436
28946,101,404,353,419
29047,101,387,372,417
29149,102,363,375,413
29249,100,357,376,425
29350,101,353,371,443
29452,102,333,362,427
29553,101,329,356,463
29655,102,305,345,465
29756,101,338,316,492
29857,101,356,307,483
29958,101,379,285,500
30059,101,372,298,469
30160,101,412,300,478
30262,102,402,308,476
30363,101,405,334,442
30465,102,403,352,427
30566,101,365,363,408
30666,100,353,375,421
30768,102,338,367,436
30869,101,329,361,429
30970,101,305,352,438
31072,102,310,359,449
31173,101,288,334,474
31275,102,309,311,487
31375,100,339,297,491
31476,101,374,294,479
31578,102,378,291,471
31679,101,410,306,478
31780,101,418,319,466
31882,102,398,331,433
31983,101,379,357,421
32083,100,378,357,419
32185,102,353,367,415
32286,101,329,373,428
32388,102,309,367,439
32489,101,317,358,447
32590,101,324,349,471
32692,102,367,302,512
32792,100,391,299,504
32893,101,391,297,476
32995,102,416,308,460
33096,101,428,317,469
33198,102,400,331,446
33299,101,392,350,429
33400,101,393,357,433
33501,101,359,371,433
33602,101,347,369,425
33703,101,333,375,422
33805,102,333,368,440
33906,101,312,354,452
34008,102,310,332,476
34109,101,351,312,500
34209,100,379,306,495
34311,102,380,304,481
34412,101,389,302,470
34513,101,409,314,475
34615,102,406,332,454
34716,101,396,339,437
34818,102,378,354,433
34918,100,378,376,421
35019,101,361,380,435
35121,102,358,384,410
35222,101,316,360,431
35323,101,328,363,455
35425,102,313,346,458
35526,101,305,325,466
35627,101,350,303,504
35728,101,379,311,481
35829,101,375,294,477
35931,102,416,314,466
36032,101,407,318,460
36133,101,404,341,445
36235,102,381,356,422
36335,100,398,360,441
36436,101,364,377,427
36538,102,343,377,437
36639,101,350,379,439
36741,102,323,375,436
36842,101,330,375,445
36943,101,322,350,466
37044,101,311,344,451
37145,101,328,326,490
37246,101,340,319,479
37348,102,390,314,477
37449,101,395,308,474
37551,102,424,317,479
37652,101,409,326,461
37752,100,380,336,446
37854,102,386,362,437
37955,101,384,376,428
38056,101,371,380,417
38158,102,354,382,455
38259,101,346,376,436
38361,102,321,365,422
38461,100,313,358,448
38562,101,327,336,463
38664,102,351,322,486
38765,101,375,308,502
38866,101,390,302,482
38968,102,403,315,473
39069,101,410,316,473
39170,101,414,342,438
39271,101,407,360,422
39372,101,388,366,429
39474,102,388,378,412
39575,101,342,372,426
39676,101,331,366,430
39778,102,318,366,434
39878,100,336,352,459
39980,102,305,348,470
40081,101,354,327,488
40182,101,397,304,508
40284,102,377,309,472
