Time,Delta Time,X,Y,Z
22771,0,371,314,460
100,-22671,375,305,479
201,101,387,309,482
303,102,382,309,474
404,101,429,330,469
504,100,389,325,464
606,102,389,335,458
707,101,379,351,433
808,101,368,364,427
909,101,359,369,435
1010,101,344,366,424
1112,102,331,362,425
1213,101,332,345,446
1314,101,343,343,447
1415,101,336,328,478
1516,101,345,310,477
1617,101,361,304,464
1719,102,382,298,464
1820,101,382,288,478
1922,102,388,296,480
2022,100,403,311,484
2123,101,382,326,459
2225,102,387,348,437
2326,101,366,359,424
2427,101,362,363,425
2528,101,357,369,427
2629,101,332,366,422
2731,102,323,354,445
2832,101,325,356,438
2933,101,338,324,473
3034,101,335,305,469
3135,101,363,304,474
3236,101,389,304,470
3338,102,378,283,491
3439,101,364,295,475
3539,100,391,310,472
3641,102,387,322,456
3742,101,374,348,426
3844,102,359,362,424
3945,101,347,371,434
4046,101,342,368,435
4147,101,324,365,434
4248,101,328,364,435
4349,101,333,354,440
4451,102,342,330,466
4552,101,343,308,487
4653,101,346,302,477
4754,101,378,290,493
4855,101,373,288,474
4957,102,367,291,467
5058,101,373,308,469
5158,100,410,316,482
5260,102,388,332,437
5361,101,374,346,430
5463,102,367,356,439
5564,101,345,361,441
5665,101,334,367,429
5766,101,316,367,414
5867,101,313,349,421
5968,101,327,335,444
6070,102,323,314,472
6171,101,359,305,485
6272,101,381,277,508
6373,101,377,286,474
6474,101,381,282,474
6576,102,404,298,477
6677,101,386,322,458
6777,100,385,335,442
6879,102,373,353,430
6980,101,356,368,415
7081,101,353,371,434
7183,102,349,373,421
7284,101,320,355,445
7385,101,312,353,449
7486,101,330,344,468
7587,101,293,328,450
7689,102,351,288,477
7790,101,365,283,493
7890,100,370,289,463
7992,102,375,280,473
8093,101,396,295,482
8195,102,386,314,465
8296,101,379,327,443
8396,100,376,352,423
8498,102,365,364,428
8599,101,339,366,435
8700,101,332,367,418
8802,102,312,357,427
8903,101,312,335,444
9004,101,319,320,461
9105,101,338,292,496
9206,101,367,289,480
9308,102,365,280,471
9409,101,377,277,470
9509,100,396,294,482
9611,102,395,317,459
9712,101,384,331,447
9814,102,363,346,439
9915,101,351,361,420
10015,100,357,370,422
10117,102,342,369,425
10218,101,330,364,433
10319,101,335,356,445
10421,102,330,327,460
10522,101,325,321,443
10624,102,371,310,479
10725,101,381,302,475
10825,100,389,296,479
10927,102,408,302,481
11028,101,414,316,464
11129,101,390,335,436
11231,102,374,360,427
11332,101,370,365,427
11433,101,362,364,445
11534,101,344,374,429
11635,101,346,369,431
11737,102,320,352,436
11838,101,328,347,456
11939,101,339,328,465
12041,102,357,305,464
