Time,Delta Time,X,Y,Z
3239524,0,346,306,463
3239220,-304,382,317,452
3239321,101,371,317,455
3239422,101,374,313,455
3239524,102,346,306,463
3239220,-304,382,317,452
3239321,101,371,317,455
3239422,101,374,313,455
3239524,102,346,306,463
0,-3239524,304,301,522
100,100,435,271,570
201,101,482,302,531
303,102,448,347,423
404,101,409,360,343
504,100,345,356,347
606,102,282,329,390
707,101,263,322,453
808,101,370,280,556
909,101,424,277,574
1010,101,453,307,488
1112,102,472,343,412
1213,101,410,353,351
1314,101,324,353,318
1415,101,244,331,404
1516,101,276,314,509
1617,101,375,262,606
1719,102,423,292,548
1820,101,492,317,489
1922,102,483,339,408
2022,100,382,340,314
2123,101,266,334,346
2225,102,229,311,436
2326,101,333,317,522
2427,101,475,245,606
2528,101,502,321,500
2629,101,471,344,398
2731,102,415,361,323
2832,101,308,342,334
2933,101,193,275,452
3034,101,330,265,579
3135,101,447,265,599
3236,101,474,304,481
3338,102,476,343,409
3439,101,415,351,355
3540,101,291,334,323
3641,101,216,319,370
3742,101,201,299,513
3844,102,458,236,670
3945,101,460,300,498
4046,101,471,332,390
4147,101,395,340,348
4248,101,300,344,355
4349,101,220,298,454
4451,102,320,276,565
4552,101,517,271,596
4653,101,519,306,489
4754,101,474,353,353
4855,101,364,344,323
4957,102,288,339,353
5058,101,247,307,441
5158,100,347,253,608
5260,102,449,275,570
5361,101,525,322,459
5463,102,465,360,357
5564,101,392,344,340
5665,101,288,343,345
5766,101,219,304,442
5867,101,309,283,545
5968,101,502,254,623
6070,102,514,312,499
6171,101,458,355,379
6272,101,405,357,347
6373,101,335,340,343
6474,101,255,314,408
6576,102,284,301,516
6677,101,414,272,601
6777,100,539,327,521
6879,102,489,335,437
6980,101,439,356,360
7081,101,337,335,324
7183,102,275,335,358
7284,101,270,321,492
7385,101,353,278,610
7486,101,451,287,574
7587,101,506,315,497
7689,102,470,370,385
7790,101,397,344,350
7890,100,284,326,346
7992,102,240,324,407
8093,101,280,292,531
8195,102,398,244,598
8296,101,494,310,505
8396,100,481,344,421
8498,102,410,353,350
8599,101,317,336,333
8700,101,254,328,400
8802,102,271,307,502
8903,101,408,252,628
9004,101,474,307,521
9105,101,480,327,458
9206,101,434,339,403
9308,102,372,348,336
9409,101,298,351,356
9509,100,234,305,461
9611,102,313,272,565
9712,101,416,248,600
9814,102,491,308,493
9915,101,459,347,414
10016,101,429,351,381
10117,101,314,331,333
10218,101,259,332,369
10319,101,247,280,513
10421,102,393,279,544
10522,101,487,285,532
10624,102,503,317,453
10725,101,446,344,364
10825,100,363,355,319
10927,102,321,353,369
11028,101,253,311,453
11129,101,318,284,512
11231,102,477,236,591
11332,101,480,297,504
11433,101,479,333,430
11534,101,419,352,361
11635,101,341,329,353
11737,102,274,335,373
11838,101,274,300,505
11939,101,337,264,577
12041,102,513,275,570
12142,101,503,310,468
12242,100,448,350,358
12344,102,397,345,318
12445,101,302,346,344
12547,102,236,282,485
12648,101,366,274,562
12749,101,432,242,562
12851,102,589,326,481
12951,100,464,333,391
13052,101,396,348,316
13154,102,313,337,317
13255,101,231,285,440
13357,102,293,247,577
13458,101,455,269,608
13559,101,499,296,516
13660,101,479,326,433
13761,101,414,333,350
13862,101,309,323,330
13964,102,225,331,373
14065,101,272,287,508
14167,102,407,269,603
14268,101,488,292,548
14368,100,485,317,461
14470,102,436,347,365
14571,101,355,341,310
14672,101,280,329,359
14774,102,267,294,476
14875,101,354,269,598
14977,102,477,273,570
15077,100,494,324,472
15178,101,477,334,390
15280,102,407,340,344
15381,101,295,347,333
15482,101,227,303,412
15584,102,311,253,562
15685,101,404,258,629
15785,100,506,311,517
15887,102,477,332,398
15988,101,422,344,316
16090,102,308,326,353
16191,101,251,330,396
16292,101,269,286,509
16394,102,479,227,649
16494,100,523,310,503
16595,101,477,331,411
16697,102,390,354,320
16798,101,321,333,338
16900,102,202,286,396
17001,101,299,269,586
17102,101,530,235,670
17203,101,528,318,468
17304,101,463,330,378
17405,101,368,341,326
17507,102,272,341,334
17608,101,305,296,481
17710,102,319,299,535
17811,101,432,266,564
17911,100,506,304,496
18013,102,496,325,423
18114,101,402,346,337
18215,101,345,354,346
18317,102,300,340,384
18418,101,268,306,462
18520,102,341,257,565
18620,100,438,248,561
18721,101,577,320,469
18823,102,474,346,356
18924,101,347,344,330
19025,101,301,335,357
19127,102,238,299,437
19228,101,310,239,579
19329,101,506,261,600
19430,101,546,308,471
19531,101,483,328,384
19633,102,396,347,322
19734,101,320,341,341
19835,101,241,302,437
19937,102,303,267,527
20037,100,427,230,600
20139,102,549,288,519
20240,101,510,343,382
20341,101,424,349,335
20443,102,318,330,340
20544,101,279,318,392
20645,101,263,273,525
20746,101,396,244,605
20847,101,533,281,557
20948,101,508,320,410
21050,102,429,339,337
21151,101,338,335,332
21253,102,289,331,383
21354,101,225,304,460
21454,100,371,236,610
21556,102,498,282,559
21657,101,520,325,428
21758,101,446,334,348
21860,102,359,325,336
21961,101,261,344,356
22063,102,271,297,484
22163,100,328,258,572
22264,101,454,244,598
22366,102,546,321,502
22467,101,480,355,371
22568,101,412,360,318
22670,102,314,341,336
22771,101,246,296,435
22872,101,278,278,514
22973,101,439,255,643
23074,101,521,321,506
23176,102,518,358,393
23277,101,436,351,331
23378,101,352,338,321
23480,102,221,295,392
23580,100,313,306,526
23682,102,432,275,630
23783,101,499,323,507
23884,101,500,341,427
23986,102,429,339,363
24087,101,347,334,343
24188,101,283,323,375
24289,101,277,297,478
24390,101,389,274,598
24492,102,460,278,551
24593,101,535,322,475
24694,101,468,340,378
24796,102,402,354,344
24897,101,317,337,355
24997,100,250,315,412
25099,102,287,296,523
25200,101,395,239,613
25302,102,489,309,508
25403,101,497,330,426
25504,101,419,344,356
25606,102,350,334,356
25706,100,277,353,382
25807,101,265,295,483
25909,102,346,246,593
26010,101,443,252,574
26112,102,529,324,477
26213,101,461,345,369
26314,101,361,335,336
26415,101,323,350,365
26516,101,244,301,441
26617,101,307,274,526
26719,102,406,216,641
26820,101,499,289,505
26921,101,527,337,429
27023,102,438,350,348
27123,100,375,332,350
27225,102,284,332,376
27326,101,256,302,470
27427,101,351,260,565
27529,102,468,267,585
27630,101,513,300,499
27731,101,483,344,368
27832,101,377,329,339
27933,101,298,335,370
28035,102,273,322,444
28136,101,311,288,518
28237,101,434,246,570
28339,102,560,302,508
28440,101,455,336,372
28540,100,397,352,337
28642,102,346,348,352
28743,101,297,313,424
28845,102,266,285,502
28946,101,382,243,596
29047,101,515,303,511
29149,102,504,331,423
29249,100,423,348,329
29350,101,440,331,362
29452,102,341,367,361
29553,101,247,330,421
29655,102,290,246,551
29756,101,412,233,592
29857,101,522,295,490
29958,101,460,329,374
30059,101,372,345,340
30160,101,324,349,363
30262,102,258,291,443
30363,101,274,269,518
30465,102,449,261,580
30566,101,527,299,508
30666,100,458,309,444
30768,102,434,348,352
30869,101,347,332,353
30970,101,272,327,384
31072,102,287,304,474
31173,101,371,255,583
31275,102,476,266,574
31375,100,492,309,470
31476,101,444,345,379
31578,102,392,348,346
31679,101,316,343,347
31780,101,280,316,423
31882,102,279,294,505
31983,101,416,243,614
32083,100,495,314,524
32185,102,490,320,471
32286,101,443,355,354
32388,102,388,334,365
32489,101,316,326,384
32590,101,229,304,448
32692,102,329,269,567
32792,100,473,277,569
32893,101,516,330,482
32995,102,458,348,390
33096,101,390,354,339
33198,102,314,349,348
33299,101,257,303,441
33400,101,287,277,524
33501,101,445,237,613
33602,101,534,326,486
33703,101,461,334,415
33805,102,409,357,348
33906,101,343,347,342
34008,102,283,327,386
34109,101,248,295,486
34209,100,376,258,613
34311,102,469,296,547
34412,101,487,324,464
34513,101,434,353,380
34615,102,367,359,333
34716,101,272,321,357
34818,102,237,288,466
34918,100,329,276,564
35019,101,475,236,636
35121,102,498,314,478
35222,101,430,348,347
35323,101,367,354,305
35425,102,257,332,370
35526,101,254,281,501
35627,101,327,265,586
35728,101,482,288,564
35829,101,514,314,474
35931,102,431,338,353
36032,101,334,344,305
36133,101,262,329,356
36235,102,281,295,472
36335,100,334,252,605
36436,101,463,266,585
36538,102,497,310,457
36639,101,432,347,353
36741,102,384,351,335
36842,101,302,334,348
36943,101,245,295,450
37044,101,315,265,527
37145,101,481,257,587
37246,101,544,338,469
37348,102,454,353,390
