Time,Delta Time,X,Y,Z
31275,0,364,312,450
31375,100,353,309,456
31476,101,350,307,455
31578,102,309,297,456
31275,-303,364,312,450
31375,100,353,309,456
31476,101,350,307,455
31578,102,309,297,456
0,-31578,335,378,362
100,100,313,351,415
201,101,307,330,452
303,102,298,296,493
404,101,355,275,523
504,100,397,280,507
606,102,417,292,493
707,101,409,321,445
808,101,420,350,425
909,101,406,365,403
1010,101,352,369,391
1112,102,333,356,409
1213,101,317,355,408
1314,101,316,314,457
1415,101,337,283,498
1516,101,434,278,530
1617,101,446,300,499
1719,102,455,330,456
1820,101,417,347,419
1922,102,387,361,390
2022,100,358,380,385
2123,101,341,366,413
2225,102,292,347,392
2326,101,272,283,476
2427,101,346,281,515
2528,101,422,282,536
2629,101,441,305,495
2731,102,423,330,439
2832,101,420,357,405
2933,101,381,359,388
3034,101,350,375,372
3135,101,303,349,409
3236,101,331,347,436
3338,102,307,275,497
3439,101,360,261,537
3539,100,420,285,511
3641,102,436,294,502
3742,101,420,336,430
3844,102,425,357,386
3945,101,379,344,410
4046,101,346,364,406
4147,101,302,353,403
4248,101,271,318,451
4349,101,339,289,491
4451,102,382,251,528
4552,101,412,272,500
4653,101,436,290,477
4754,101,423,325,437
4855,101,421,346,417
4957,102,380,366,384
5058,101,345,372,379
5158,100,296,342,414
5260,102,343,315,458
5361,101,349,273,540
5463,102,392,267,546
5564,101,427,286,500
5665,101,445,304,475
5766,101,442,351,419
5867,101,404,363,391
5968,101,365,358,380
6070,102,312,357,394
6171,101,312,347,423
6272,101,317,323,454
6373,101,363,281,508
6474,101,423,270,555
6576,102,412,296,501
6677,101,435,326,457
6777,100,444,357,422
6879,102,408,358,392
6980,101,349,368,383
7081,101,333,368,400
7183,102,290,346,420
7284,101,318,299,507
7385,101,327,271,546
7486,101,405,306,514
7587,101,436,302,507
7689,102,442,329,471
7790,101,429,357,418
7890,100,409,363,389
7992,102,362,356,399
8093,101,344,357,414
8195,102,312,337,416
8296,101,285,300,442
8397,101,378,273,551
8498,101,404,279,528
8599,101,421,287,495
8700,101,443,316,459
8802,102,441,349,418
8903,101,423,364,393
9004,101,384,360,395
9105,101,339,363,391
9206,101,317,342,413
9308,102,294,303,481
9409,101,370,281,522
9509,100,425,282,540
9611,102,450,299,493
9712,101,448,315,463
9814,102,417,341,416
9915,101,403,353,397
10016,101,369,361,389
10117,101,323,355,394
10218,101,319,345,422
10319,101,334,309,470
10421,102,410,290,529
10522,101,432,293,511
10624,102,453,291,502
10725,101,441,313,461
10825,100,429,355,395
10927,102,411,356,389
11028,101,381,365,385
11129,101,339,349,404
11231,102,343,327,433
11332,101,369,302,487
11433,101,391,272,510
11534,101,439,280,509
11635,101,459,286,496
11737,102,448,326,440
11838,101,413,345,413
11939,101,391,346,392
12041,102,359,358,394
12142,101,303,350,400
12242,100,329,319,448
12344,102,345,286,512
12445,101,392,257,550
12547,102,437,287,508
12648,101,458,307,475
12749,101,448,339,430
12851,102,425,360,399
12951,100,378,352,394
13052,101,338,364,396
13154,102,321,345,414
13255,101,311,311,465
13357,102,340,269,517
13458,101,383,265,535
13559,101,444,284,506
13660,101,452,318,472
13761,101,430,350,411
13862,101,416,360,388
13964,102,384,360,371
14065,101,322,339,365
14167,102,345,322,443
14268,101,328,292,504
14368,100,399,265,562
14470,102,434,281,501
14571,101,449,303,484
14672,101,457,338,435
14774,102,422,352,408
14875,101,375,354,386
14977,102,352,372,359
15077,100,297,332,405
15178,101,312,303,480
15280,102,384,283,523
15381,101,419,292,531
15482,101,435,292,514
15584,102,428,320,457
15685,101,426,353,408
15785,100,411,356,392
15887,102,379,358,391
15988,101,339,362,406
16090,102,287,325,402
16191,101,333,304,487
16292,101,399,271,547
16394,102,436,273,528
16494,100,432,286,485
16595,101,439,338,429
16697,102,427,362,396
16798,101,378,353,400
16900,102,334,365,388
17001,101,299,341,395
17102,101,304,315,449
17203,101,382,278,540
17304,101,427,280,517
17405,101,454,273,531
17507,102,444,308,459
17608,101,428,342,408
17710,102,401,360,382
17811,101,359,363,392
17911,100,325,362,393
18013,102,323,330,419
18114,101,351,272,501
18215,101,376,273,530
18317,102,431,286,511
18418,101,436,293,483
18520,102,417,325,448
18620,100,425,346,420
18721,101,388,350,396
18823,102,349,357,396
18924,101,320,340,407
19025,101,321,327,442
19127,102,331,294,508
19228,101,395,275,520
19329,101,398,272,510
19430,101,443,287,491
19531,101,432,324,447
19633,102,436,353,413
19734,101,387,343,401
19835,101,338,372,382
19937,102,315,359,403
20037,100,294,318,446
20139,102,341,280,516
20240,101,387,289,505
20341,101,437,284,505
20443,102,429,294,488
20544,101,446,330,439
20645,101,421,350,416
20746,101,371,361,387
20847,101,336,373,377
20948,101,331,349,411
21050,102,318,330,455
21151,101,316,292,480
21253,102,380,274,506
21354,101,433,270,513
21454,100,439,303,471
21556,102,419,337,421
21657,101,405,349,398
21758,101,375,348,418
21860,102,327,359,402
21961,101,326,357,413
22063,102,309,321,450
22163,100,359,271,516
22264,101,412,263,525
22366,102,430,290,493
22467,101,423,315,467
22568,101,415,341,440
22670,102,383,352,389
22771,101,358,356,390
22872,101,301,354,410
22973,101,323,342,431
23074,101,294,328,462
23176,102,344,298,477
23277,101,451,274,548
23378,101,460,290,492
23480,102,458,313,462
23580,100,440,342,429
23682,102,407,360,395
23783,101,355,361,383
23884,101,335,365,387
23986,102,320,338,447
24087,101,304,298,479
24188,101,355,276,535
24289,101,405,264,523
24390,101,435,281,491
24492,102,464,318,459
24593,101,443,343,425
24694,101,377,347,381
24796,102,333,363,373
24897,101,306,340,410
24997,100,333,316,466
25099,102,324,287,497
25200,101,342,249,518
25302,102,416,273,503
25403,101,427,282,482
25504,101,447,337,445
25606,102,409,350,407
25706,100,366,354,388
25807,101,334,365,384
25909,102,324,350,396
26010,101,326,319,455
26112,102,297,273,507
26213,101,347,248,527
26314,101,424,282,501
26415,101,446,293,483
26516,101,443,334,445
26617,101,406,351,411
26719,102,374,358,384
26820,101,339,364,378
26921,101,319,357,398
27023,102,314,325,429
27123,100,322,293,488
27225,102,391,283,529
27326,101,408,275,497
27427,101,439,287,483
27529,102,457,324,456
27630,101,425,347,416
27731,101,378,351,389
27832,101,350,359,387
27933,101,325,353,405
28035,102,301,329,440
28136,101,325,292,499
28237,101,395,279,534
28339,102,407,289,506
28440,101,422,300,483
28540,100,431,335,449
28642,102,406,356,416
28743,101,377,367,386
28845,102,350,361,384
28946,101,337,347,410
29047,101,273,310,451
29149,102,340,284,533
29249,100,352,276,515
29350,101,439,292,488
29452,102,462,309,484
29553,101,441,343,421
29655,102,400,355,390
29756,101,343,359,374
29857,101,305,349,383
29958,101,312,341,417
30059,101,340,299,517
30160,101,402,275,549
30262,102,405,292,483
30363,101,433,301,486
30465,102,453,333,455
30566,101,421,352,426
30666,100,372,352,385
30768,102,357,364,376
30869,101,334,355,399
30970,101,322,331,437
31072,102,364,298,493
31173,101,399,282,529
31275,102,436,290,492
31375,100,457,292,483
31476,101,456,323,446
31578,102,433,337,423
31679,101,374,354,384
31780,101,342,367,384
31882,102,306,350,403
31983,101,336,331,448
32083,100,367,294,486
32185,102,403,280,512
32286,101,418,288,486
32388,102,433,293,481
32489,101,425,330,436
32590,101,402,350,409
32692,102,381,355,394
32792,100,351,360,399
32893,101,322,346,414
32995,102,346,337,452
33096,101,362,304,491
33198,102,373,272,531
33299,101,420,279,500
33400,101,444,287,491
33501,101,453,314,451
33602,101,414,349,396
33703,101,363,352,368
33805,102,320,359,377
33906,101,324,341,417
34008,102,313,310,465
34109,101,347,274,519
34209,100,383,276,500
34311,102,415,280,501
34412,101,433,313,459
34513,101,435,340,439
34615,102,399,351,407
34716,101,367,361,383
34818,102,353,358,409
34918,100,280,344,410
35019,101,313,314,461
35121,102,340,252,544
35222,101,396,271,532
35323,101,425,271,514
35425,102,432,306,465
35526,101,436,344,413
35627,101,386,350,389
35728,101,335,359,376
35829,101,344,360,393
35931,102,293,319,472
36032,101,306,286,508
36133,101,363,265,525
36235,102,411,283,511
