Time,Delta Time,X,Y,Z
7486,0,320,281,497
7284,-202,375,316,510
7385,101,355,310,440
7486,101,320,281,497
7284,-202,375,316,510
7385,101,355,310,440
7486,101,320,281,497
100,-7386,392,343,446
201,101,383,360,422
303,102,365,366,435
404,101,350,371,432
504,100,345,369,436
606,102,310,363,426
707,101,324,344,436
808,101,323,343,456
909,101,319,327,470
1010,101,329,321,467
1112,102,350,318,479
1213,101,357,305,480
1314,101,358,305,474
1415,101,364,304,483
1516,101,396,321,484
1617,101,390,333,466
1719,102,380,343,448
1820,101,367,364,429
1922,102,358,378,409
2022,100,342,379,422
2123,101,333,366,435
2225,102,324,358,431
2326,101,326,352,446
2427,101,328,342,461
2528,101,311,327,456
2629,101,350,305,508
2731,102,376,315,507
2832,101,364,307,473
2933,101,357,304,472
3034,101,391,320,481
3135,101,397,328,469
3236,101,383,335,448
3338,102,368,355,429
3439,101,359,364,437
3539,100,341,365,426
3641,102,313,366,420
3742,101,306,355,433
3844,102,316,344,443
3945,101,323,341,460
4046,101,320,328,454
4147,101,335,320,474
4248,101,349,317,472
4349,101,356,312,466
4451,102,350,307,470
4552,101,358,305,472
4653,101,360,309,484
4754,101,379,324,488
4855,101,370,321,470
4957,102,369,344,441
5058,101,374,354,430
5158,100,340,357,416
5260,102,324,361,419
5361,101,315,367,423
5463,102,309,339,455
5564,101,320,345,439
5665,101,320,333,456
5766,101,321,321,458
5867,101,330,307,464
5968,101,344,303,467
6070,102,352,304,471
6171,101,339,298,470
6272,101,362,299,490
6373,101,384,315,484
6474,101,390,337,451
6576,102,378,357,433
6677,101,359,361,417
6777,100,346,370,420
6879,102,332,372,430
6980,101,329,356,446
7081,101,323,360,452
7183,102,331,348,460
7284,101,325,319,474
7385,101,332,315,476
7486,101,352,313,481
7587,101,372,314,484
7689,102,366,310,490
7790,101,371,312,480
7890,100,375,327,467
7992,102,396,333,457
8093,101,389,357,424
8195,102,369,376,417
8296,101,324,379,420
8396,100,325,373,407
8498,102,320,355,434
8599,101,332,337,464
8700,101,328,341,466
8802,102,339,326,468
8903,101,349,318,467
9004,101,365,306,473
9105,101,362,288,494
9206,101,375,303,473
9308,102,387,312,475
9409,101,387,309,481
9509,100,381,330,452
9611,102,385,348,432
9712,101,357,361,421
9814,102,350,368,417
9915,101,334,367,425
10016,101,322,352,438
10117,101,322,341,453
10218,101,324,329,467
10319,101,335,308,477
10421,102,351,300,477
10522,101,383,306,479
10624,102,386,296,469
10725,101,383,301,467
10825,100,392,311,469
10927,102,387,323,465
11028,101,390,343,450
11129,101,365,339,449
11231,102,364,356,429
11332,101,333,365,426
11433,101,328,365,417
11534,101,316,356,427
11635,101,327,342,453
11737,102,325,334,455
11838,101,326,299,495
11939,101,355,303,486
12041,102,365,292,483
12142,101,383,294,484
12242,100,376,305,477
12344,102,390,319,482
12445,101,391,329,466
12547,102,387,349,434
12648,101,367,360,436
12749,101,330,367,420
12851,102,321,375,405
12951,100,309,363,433
13052,101,290,333,443
13154,102,308,330,470
13255,101,310,313,479
13357,102,343,302,504
13458,101,365,287,491
13559,101,375,290,477
13660,101,385,302,477
13761,101,400,314,486
13862,101,388,333,449
13964,102,380,356,422
14065,101,354,370,419
14167,102,336,370,428
14268,101,319,368,433
14368,100,297,354,426
14470,102,309,342,432
14571,101,325,331,463
14672,101,339,319,494
14774,102,348,307,476
14875,101,354,298,472
14977,102,379,300,495
15077,100,399,315,488
15178,101,379,329,455
15280,102,389,355,427
15381,101,376,360,423
15482,101,363,366,438
15584,102,320,369,417
15685,101,306,364,415
15785,100,310,359,442
15887,102,348,352,460
15988,101,319,321,473
16090,102,331,300,486
16191,101,348,290,479
16292,101,365,298,484
16394,102,393,299,494
16494,100,401,324,477
16595,101,387,336,446
16697,102,374,356,422
16798,101,364,369,424
16900,102,328,372,417
17001,101,333,370,430
17102,101,309,359,424
17203,101,298,343,441
17304,101,324,336,467
17405,101,312,322,466
17507,102,322,309,465
17608,101,356,304,475
17710,102,365,292,477
17811,101,394,303,489
17911,100,398,313,480
18013,102,388,330,458
18114,101,384,349,431
18215,101,367,360,419
18317,102,350,377,428
18418,101,326,372,422
18520,102,311,369,428
18620,100,297,349,440
18721,101,341,346,451
18823,102,336,326,477
18924,101,324,310,481
19025,101,348,301,476
19127,102,371,300,493
19228,101,384,304,485
19329,101,386,316,472
19430,101,390,333,461
19531,101,380,345,433
19633,102,383,365,432
19734,101,349,370,420
19835,101,336,368,431
19937,102,325,357,431
20037,100,308,354,432
20139,102,299,328,462
20240,101,300,319,456
20341,101,314,314,464
20443,102,355,293,493
20544,101,365,280,492
20645,101,382,295,484
20746,101,394,315,470
20847,101,399,324,466
20948,101,395,337,457
21050,102,370,352,437
21151,101,353,363,427
21253,102,324,377,420
21354,101,312,361,418
21454,100,295,346,425
21556,102,307,342,443
21657,101,326,334,453
21758,101,301,307,469
21860,102,336,302,455
21961,101,372,287,507
22063,102,369,288,476
22163,100,396,302,484
22264,101,396,314,472
22366,102,378,327,452
22467,101,375,348,437
22568,101,369,367,428
22670,102,336,371,434
22771,101,323,367,428
22872,101,308,362,431
22973,101,293,343,443
23074,101,308,342,436
23176,102,319,322,460
23277,101,336,307,487
23378,101,344,301,479
23480,102,342,295,467
23580,100,364,302,462
23682,102,374,310,483
23783,101,408,323,488
23884,101,383,334,459
23986,102,376,348,437
24087,101,360,360,423
24188,101,332,374,424
24289,101,310,367,421
24390,101,285,349,424
24492,102,311,340,453
24593,101,322,338,468
24694,101,326,313,467
24796,102,353,312,478
24897,101,361,303,474
24997,100,350,295,459
25099,102,359,295,458
25200,101,390,307,480
25302,102,399,317,481
25403,101,385,333,453
25504,101,374,351,444
25606,102,359,357,433
25706,100,342,366,423
25807,101,329,371,415
25909,102,309,363,424
26010,101,308,353,433
26112,102,333,340,465
26213,101,323,329,460
26314,101,331,312,477
26415,101,371,307,485
26516,101,365,307,469
26617,101,360,299,473
26719,102,371,298,478
26820,101,388,315,475
26921,101,381,323,462
27023,102,379,335,448
27123,100,366,353,427
27225,102,349,363,429
27326,101,323,357,422
27427,101,317,356,424
27529,102,308,346,439
27630,101,329,338,460
27731,101,324,331,472
27832,101,329,318,471
27933,101,367,315,490
28035,102,358,304,475
28136,101,358,294,485
28237,101,358,297,483
28339,102,375,311,477
28440,101,379,329,465
28540,100,380,340,451
28642,102,363,358,432
28743,101,344,364,434
28845,102,331,368,420
28946,101,304,367,411
29047,101,301,355,437
29149,102,310,359,441
29249,100,316,336,470
29350,101,315,327,468
29452,102,321,313,471
29553,101,329,302,489
29655,102,353,298,490
29756,101,346,300,469
29857,101,360,316,468
29958,101,362,315,491
30059,101,358,327,467
30160,101,360,342,448
30262,102,364,360,436
30363,101,339,374,408
30465,102,325,372,404
30566,101,305,367,426
30666,100,313,354,452
30768,102,313,354,440
30869,101,320,324,476
30970,101,349,308,490
31072,102,344,285,487
31173,101,344,293,465
31275,102,366,291,481
31375,100,368,300,478
31476,101,381,318,476
31578,102,380,341,459
31679,101,362,352,439
31780,101,350,360,422
31882,102,319,372,419
31983,101,308,367,426
32083,100,302,361,443
32185,102,294,341,455
32286,101,303,337,453
32388,102,311,315,467
32489,101,327,292,484
32590,101,352,291,479
32692,102,363,275,500
32792,100,370,290,468
32893,101,374,299,478
32995,102,398,326,476
33096,101,368,336,436
33198,102,350,354,429
33299,101,347,368,426
33400,101,331,371,426
33501,101,308,369,427
33602,101,316,358,433
33703,101,322,359,437
33805,102,319,347,452
33906,101,340,336,454
34008,102,335,322,454
34109,101,357,311,465
34209,100,345,290,484
34311,102,359,281,480
34412,101,349,288,477
34513,101,378,302,495
34615,102,380,328,466
34716,101,360,351,433
34818,102,359,367,423
34918,100,323,370,419
35019,101,303,366,423
35121,102,321,368,438
35222,101,322,354,455
35323,101,303,337,461
35425,102,320,317,479
35526,101,350,310,484
35627,101,343,301,461
35728,101,351,296,457
35829,101,358,293,480
35931,102,352,298,492
36032,101,383,311,480
36133,101,379,333,469
36235,102,363,355,430
36335,100,348,357,416
36436,101,335,366,432
36538,102,305,362,431
36639,101,305,360,442
36741,102,317,358,449
36842,101,318,344,460
36943,101,303,329,451
37044,101,303,296,444
37145,101,313,281,458
37246,101,341,289,464
37348,102,361,279,488
37449,101,371,284,486
37551,102,363,303,475
37652,101,362,320,464
37752,100,351,330,455
37854,102,339,357,426
37955,101,312,371,419
38056,101,301,367,425
38158,102,283,356,421
38259,101,316,355,457
38361,102,295,337,463
38461,100,306,323,461
38562,101,288,315,454
38664,102,320,285,473
38765,101,340,276,480
38866,101,361,281,483
38968,102,353,283,480
39069,101,355,293,468
39170,101,389,328,464
39271,101,384,325,462
39372,101,356,345,423
39474,102,335,364,435
39575,101,309,362,415
39676,101,295,355,430
39778,102,280,346,437
39878,100,303,330,448
39980,102,316,306,485
40081,101,325,301,480
40182,101,332,299,469
40284,102,344,294,461
40385,101,349,277,491
40486,101,382,296,488
40587,101,365,308,481
40688,101,365,332,448
40790,102,374,348,444
40891,101,335,351,419
40992,101,308,353,424
41094,102,308,349,431
41195,101,315,354,440
41295,100,305,334,463
41397,102,302,315,468
41498,101,315,306,477
41600,102,341,304,472
41701,101,341,298,468
41802,101,356,292,485
41904,102,374,299,491
42004,100,383,312,487
42105,101,374,337,470
42207,102,373,358,431
42308,101,378,363,438
42409,101,353,363,414
42511,102,333,366,410
42612,101,299,359,418
42713,101,307,353,448
42814,101,305,341,451
42915,101,322,329,469
43017,102,328,311,467
43118,101,377,304,484
43219,101,364,293,483
43321,102,369,301,462
43421,100,379,306,478
43523,102,368,323,465
43624,101,359,333,463
43725,101,355,352,447
43827,102,351,358,447
43928,101,337,367,438
44029,101,318,356,423
44130,101,314,359,434
44231,101,340,354,445
44333,102,326,338,439
44434,101,341,313,476
44535,101,317,289,465
44637,102,352,286,476
44738,101,363,274,490
44838,100,360,287,473
44940,102,361,293,469
45041,101,359,298,475
45143,102,364,322,458
45244,101,356,333,461
45345,101,344,351,439
45447,102,333,360,440
45547,100,317,362,438
45648,101,304,357,435
45750,102,312,355,425
45851,101,329,336,445
45953,102,323,314,469
46054,101,345,307,482
46155,101,338,294,451
46256,101,351,288,474
46357,101,351,277,500
46458,101,351,292,485
46560,102,368,302,484
46661,101,359,325,455
46763,102,369,351,435
46864,101,343,358,420
46964,100,331,368,429
47066,102,314,360,429
47167,101,295,348,436
47268,101,319,345,441
47370,102,301,316,455
47471,101,346,307,473
47572,101,373,278,515
47673,101,348,280,477
47774,101,380,299,481
47876,102,374,293,484
47977,101,360,293,488
48078,101,375,331,449
48180,102,372,338,449
48281,101,351,356,421
48381,100,342,365,420
