Time,Delta Time,X,Y,Z
11129,0,356,315,465
11231,102,403,330,454
10927,-304,323,325,396
11028,101,326,303,476
11129,101,356,315,465
11231,102,403,330,454
10927,-304,323,325,396
11028,101,326,303,476
11129,101,356,315,465
11231,102,403,330,454
0,-11231,235,296,473
100,100,411,255,610
201,101,552,317,534
303,102,515,325,431
404,101,442,347,363
504,100,361,351,339
606,102,288,357,377
707,101,308,333,466
808,101,287,280,543
909,101,494,283,592
1010,101,532,331,480
1112,102,457,347,396
1213,101,390,345,364
1314,101,341,359,357
1415,101,292,350,394
1516,101,263,277,518
1617,101,411,253,620
1719,102,474,309,541
1820,101,508,319,461
1922,102,443,361,343
2022,100,374,347,344
2123,101,300,357,375
2225,102,263,309,452
2326,101,293,259,564
2427,101,546,306,571
2528,101,495,333,467
2629,101,439,357,380
2731,102,397,348,371
2832,101,294,356,357
2933,101,263,319,422
3034,101,273,262,555
3135,101,495,260,614
3236,101,510,326,497
3338,102,466,348,403
3439,101,397,359,361
3539,100,317,357,344
3641,102,309,335,387
3742,101,251,294,485
3844,102,407,266,578
3945,101,492,296,566
4046,101,497,331,464
4147,101,428,348,382
4248,101,355,354,346
4349,101,301,346,363
4451,102,240,299,462
4552,101,301,262,549
4653,101,451,272,596
4754,101,513,337,473
4855,101,439,370,379
4957,102,385,362,355
5058,101,298,357,345
5158,100,269,296,427
5260,102,291,275,539
5361,101,448,279,621
5463,102,474,323,501
5564,101,468,361,402
5665,101,422,359,349
5766,101,348,360,348
5867,101,298,339,368
5968,101,228,277,484
6070,102,393,229,589
6171,101,475,294,532
6272,101,497,318,480
6373,101,418,367,364
6474,101,375,365,327
6576,102,322,353,361
6677,101,236,290,450
6777,100,239,244,556
6879,102,487,250,614
6980,101,529,334,487
7081,101,486,365,384
7183,102,420,367,305
7284,101,315,338,350
7385,101,278,324,422
7486,101,250,285,530
7587,101,440,282,591
7689,102,475,302,509
7790,101,516,340,442
7890,100,410,364,315
7992,102,323,339,355
8093,101,287,334,406
8195,102,230,277,502
8296,101,365,250,588
8397,101,483,281,548
8498,101,478,324,452
8599,101,423,350,384
8700,101,352,353,365
8802,102,299,348,367
8903,101,246,296,493
9004,101,299,269,581
9105,101,459,279,588
9206,101,499,325,482
9308,102,443,351,386
9409,101,381,356,334
9509,100,306,362,328
9611,102,231,279,459
9712,101,278,276,546
9814,102,408,235,606
9915,101,496,308,494
10016,101,460,330,438
10117,101,411,364,335
10218,101,299,340,344
10319,101,266,324,398
10421,102,272,299,496
10522,101,432,248,609
10624,102,463,303,524
10725,101,498,348,436
10825,100,430,365,349
10927,102,328,344,328
11028,101,278,326,384
11129,101,276,306,485
11231,102,352,281,574
11332,101,480,297,566
11433,101,525,338,464
11534,101,453,355,373
11635,101,376,349,328
11737,102,306,334,362
11838,101,261,299,480
11939,101,304,264,544
12041,102,469,261,608
12142,101,468,299,508
12242,100,455,359,368
12344,102,382,348,350
12445,101,305,355,346
12547,102,268,334,426
12648,101,260,307,483
12749,101,389,277,580
12851,102,477,312,538
12951,100,484,328,462
13052,101,417,358,350
13154,102,359,345,337
13255,101,302,337,385
13357,102,270,297,491
13458,101,342,250,594
13559,101,479,320,536
13660,101,496,331,472
13761,101,452,342,402
13862,101,387,351,364
13964,102,301,344,356
14065,101,271,314,407
14167,102,227,273,500
14268,101,467,242,614
14368,100,511,309,508
14470,102,472,331,425
14571,101,425,366,348
14672,101,332,356,343
14774,102,275,328,401
14875,101,253,298,487
14977,102,423,268,582
15077,100,521,326,520
15178,101,508,351,430
15280,102,432,357,355
15381,101,341,353,325
15482,101,284,337,381
15584,102,256,298,507
15685,101,362,272,601
15785,100,506,302,577
15887,102,525,336,462
15988,101,431,354,361
16090,102,360,364,318
16191,101,297,356,356
16292,101,271,306,475
16394,102,336,294,524
16494,100,499,280,593
16595,101,508,333,496
16697,102,477,352,405
16798,101,400,361,319
16900,102,301,333,349
17001,101,242,307,438
17102,101,291,305,492
17203,101,461,276,590
17304,101,519,334,497
17405,101,452,349,402
17507,102,397,372,333
17608,101,322,352,329
17710,102,267,310,425
17811,101,267,303,514
