Time,Delta Time,X,Y,Z
100,0,491,314,502
201,101,452,349,421
303,102,395,358,360
404,101,350,351,337
504,100,216,278,385
606,102,276,271,505
707,101,348,262,554
808,101,439,277,525
909,101,505,323,466
1010,101,446,341,402
1112,102,376,346,342
1213,101,292,345,330
1314,101,264,280,442
1415,101,319,259,558
1516,101,419,263,558
1617,101,505,297,510
1719,102,478,329,419
1820,101,413,347,352
1922,102,333,339,324
2022,100,259,311,386
2123,101,232,265,511
2225,102,377,273,586
2326,101,484,278,550
2427,101,480,322,446
2528,101,432,343,388
2629,101,361,343,332
2731,102,243,322,332
2832,101,238,288,462
2933,101,313,267,556
3034,101,469,263,585
3135,101,504,304,463
3236,101,458,352,355
3338,102,389,349,332
3439,101,315,341,371
3539,100,232,265,465
3641,102,316,298,533
3742,101,417,317,526
3844,102,521,293,540
3945,101,487,318,431
4046,101,435,342,380
4147,101,346,325,319
4248,101,249,306,386
4349,101,289,316,490
4451,102,362,268,571
4552,101,495,264,579
4653,101,471,288,465
4754,101,435,339,372
4855,101,368,337,328
4957,102,272,315,367
5058,101,254,325,409
5158,100,330,274,584
5260,102,413,264,567
5361,101,479,277,505
5463,102,481,334,401
5564,101,401,336,353
5665,101,291,344,309
5766,101,266,317,427
5867,101,228,287,495
5968,101,396,287,582
6070,102,462,274,554
6171,101,486,318,462
6272,101,421,329,383
6373,101,368,335,330
6474,101,250,324,324
6576,102,214,290,518
6677,101,326,300,551
6777,100,433,262,587
6879,102,475,290,502
6980,101,446,316,412
7081,101,392,339,326
7183,102,296,337,332
7284,101,246,324,402
7385,101,241,269,543
7486,101,387,250,616
7587,101,469,276,526
7689,102,505,327,432
7790,101,437,342,348
7890,100,335,343,308
7992,102,266,329,373
8093,101,218,275,492
8195,102,329,278,541
8296,101,446,262,587
8396,100,449,290,485
8498,102,468,347,403
8599,101,400,346,337
8700,101,290,345,291
8802,102,284,292,461
8903,101,312,274,560
9004,101,432,279,596
9105,101,504,301,505
9206,101,478,335,418
9308,102,415,331,378
9409,101,346,348,320
9509,100,253,307,383
9611,102,220,286,424
9712,101,294,249,593
9814,102,421,273,590
9915,101,447,304,496
10015,100,454,340,383
10117,102,386,341,345
10218,101,325,345,340
10319,101,248,300,417
10421,102,246,251,495
10522,101,436,284,597
10624,102,468,292,535
10724,100,481,336,438
10825,101,442,353,377
10927,102,356,330,336
11028,101,260,301,391
11129,101,244,270,483
11231,102,334,266,547
11332,101,434,278,541
11433,101,465,302,510
11534,101,444,331,413
11635,101,395,352,337
11737,102,334,314,364
11838,101,231,313,382
11939,101,268,301,500
12041,102,364,271,587
12142,101,464,278,564
12242,100,487,317,463
12344,102,430,341,385
12445,101,341,351,310
12547,102,252,308,368
12648,101,207,271,506
12749,101,381,270,600
12851,102,440,277,554
12951,100,452,308,474
13052,101,441,345,389
13154,102,369,360,297
13255,101,241,319,343
13357,102,219,287,467
13458,101,293,281,591
13559,101,401,288,570
13660,101,457,295,521
13761,101,438,329,402
13862,101,387,348,302
13964,102,234,321,313
14065,101,202,301,474
14167,102,318,280,596
14268,101,441,274,596
14368,100,467,303,494
14470,102,437,330,408
14571,101,399,358,332
14672,101,294,344,300
14774,102,206,308,409
14875,101,253,257,606
14977,102,399,275,596
15077,100,449,286,524
15178,101,466,324,427
15280,102,416,343,336
15381,101,339,338,322
15482,101,222,304,383
15584,102,223,290,530
15685,101,332,272,588
15785,100,460,261,576
15887,102,485,317,456
15988,101,446,347,378
16090,102,373,331,325
16191,101,256,310,329
16292,101,230,303,424
16394,102,295,276,595
16494,100,381,272,574
16595,101,439,271,531
16697,102,477,329,440
16798,101,407,350,351
16900,102,327,332,316
17001,101,269,331,374
17102,101,198,277,499
17203,101,359,266,594
17304,101,403,276,554
17405,101,446,294,504
17507,102,437,333,405
17608,101,364,351,315
17710,102,292,324,335
17811,101,197,288,435
17911,100,247,259,555
18013,102,395,254,614
18114,101,440,288,511
18215,101,440,337,404
18317,102,375,339,329
18418,101,286,332,302
18520,102,228,325,424
18620,100,309,303,571
18721,101,416,274,594
18823,102,448,282,513
18924,101,483,334,403
19025,101,419,334,342
19127,102,321,340,320
19228,101,230,302,403
19329,101,230,247,547
19430,101,382,272,576
19531,101,457,281,563
19633,102,462,324,456
19734,101,420,339,374
19835,101,317,321,294
19937,102,245,326,370
20037,100,174,271,524
20139,102,347,273,590
20240,101,428,264,576
20341,101,461,304,476
20443,102,424,332,380
20544,101,370,349,302
20645,101,254,326,359
20746,101,204,259,516
20847,101,306,247,592
20948,101,425,273,562
21050,102,449,300,483
21151,101,460,335,383
21253,102,373,337,322
21354,101,267,319,331
21454,100,215,274,457
21556,102,305,262,576
21657,101,418,272,583
21758,101,474,297,510
21860,102,460,325,408
21961,101,393,336,327
22063,102,304,335,307
22163,100,261,307,426
22264,101,267,267,561
22366,102,345,264,569
22467,101,487,288,542
22568,101,477,322,432
22670,102,429,336,367
22771,101,354,353,328
22872,101,236,302,371
22973,101,252,298,470
23074,101,341,280,619
23176,102,437,289,562
23277,101,474,317,492
23378,101,452,343,384
23480,102,377,335,312
23580,100,264,312,317
23682,102,213,290,496
23783,101,295,278,577
23884,101,427,271,558
23986,102,473,304,492
24087,101,464,343,411
24188,101,406,353,341
24289,101,294,321,319
24390,101,227,294,420
24492,102,256,281,564
24593,101,392,267,610
24694,101,450,289,505
24796,102,488,335,443
24897,101,416,338,370
24997,100,306,313,316
25099,102,246,324,382
25200,101,228,254,573
25302,102,359,266,578
25403,101,459,286,561
25504,101,454,303,469
25606,102,457,352,376
25706,100,338,339,323
25807,101,265,321,379
25909,102,242,293,465
26010,101,299,277,558
26112,102,400,278,573
26213,101,453,294,513
26314,101,489,332,412
26415,101,372,338,323
26516,101,250,327,332
26617,101,226,305,453
26719,102,287,290,550
26820,101,353,253,585
26921,101,457,286,541
27023,102,470,317,441
27123,100,410,347,329
27225,102,301,364,292
27326,101,222,298,372
27427,101,244,253,556
27529,102,379,272,586
27630,101,479,288,564
27731,101,491,323,442
27832,101,457,355,376
27933,101,389,355,321
28035,102,305,323,362
28136,101,268,296,440
28237,101,260,248,575
28339,102,408,278,575
28440,101,492,304,521
28540,100,465,329,426
28642,102,404,351,358
28743,101,321,334,341
28845,102,252,309,376
28946,101,219,256,515
29047,101,397,275,594
29149,102,476,292,548
29249,100,491,326,450
29350,101,441,349,380
29452,102,365,320,349
29553,101,281,315,368
29655,102,243,290,470
29756,101,313,262,553
29857,101,470,286,592
29958,101,468,303,504
30059,101,458,344,430
30160,101,400,354,341
30262,102,344,323,349
30363,101,266,316,405
30465,102,219,266,534
30566,101,379,295,580
30666,100,476,307,543
30768,102,489,334,449
30869,101,450,350,370
30970,101,360,320,352
31072,102,266,320,366
31173,101,244,323,435
31275,102,247,256,559
31375,100,399,252,606
31476,101,471,320,497
31578,102,467,344,440
31679,101,395,339,362
31780,101,309,332,328
31882,102,283,336,373
31983,101,203,253,493
32083,100,333,257,592
32185,102,429,281,569
32286,101,479,317,505
32388,102,467,355,410
32489,101,384,340,331
32590,101,299,317,322
32692,102,244,307,415
32792,100,257,261,586
32893,101,405,282,564
32995,102,473,302,519
33096,101,480,341,432
33198,102,414,356,325
33299,101,336,333,316
33400,101,237,305,405
33501,101,247,279,534
33602,101,353,228,629
33703,101,429,261,534
33805,102,506,337,455
33906,101,428,365,342
34008,102,352,337,351
34109,101,304,331,347
34209,100,242,258,505
34311,102,346,282,565
34412,101,460,284,582
34513,101,488,323,466
34615,102,449,363,380
34716,101,362,349,318
34818,102,303,328,336
34918,100,240,293,465
35019,101,307,287,546
35121,102,481,280,592
35222,101,478,293,493
35323,101,488,352,398
35425,102,407,351,329
35526,101,321,338,330
35627,101,269,311,411
35728,101,266,291,542
35829,101,417,263,579
35931,102,492,279,536
36032,101,490,333,435
36133,101,431,361,327
36235,102,329,330,321
36335,100,258,322,395
36436,101,248,283,538
36538,102,365,256,593
36639,101,512,290,552
36741,102,493,336,435
36842,101,435,355,335
36943,101,319,337,314
37044,101,283,324,396
37145,101,251,281,529
37246,101,379,272,579
37348,102,508,282,566
37449,101,482,325,438
37551,102,449,361,342
37652,101,368,349,312
37752,100,259,314,357
37854,102,243,294,487
37955,101,346,262,609
38056,101,465,277,583
38158,102,480,318,468
38259,101,446,345,380
38361,102,361,338,327
38461,100,266,337,352
38562,101,260,307,469
38664,102,281,272,550
38765,101,437,269,633
38866,101,455,288,512
38968,102,485,350,389
39069,101,431,338,332
39170,101,340,341,346
39271,101,236,303,406
39372,101,258,266,529
39474,102,361,254,587
39575,101,491,279,557
39676,101,492,326,439
39778,102,448,360,355
39878,100,343,334,295
39980,102,234,314,384
40081,101,215,282,515
40182,101,345,276,579
40284,102,490,297,569
40385,101,488,330,456
40486,101,457,350,361
40587,101,381,329,326
40688,101,322,335,365
40790,102,244,299,491
40891,101,317,287,555
40992,101,454,282,589
41094,102,515,335,465
41195,101,487,355,378
41295,100,379,336,316
41397,102,295,326,354
41498,101,226,292,432
41600,102,295,275,558
41701,101,452,279,622
41802,101,520,319,513
41904,102,483,354,386
42004,100,430,352,335
42105,101,348,341,338
42207,102,242,303,396
42308,101,279,279,529
42409,101,375,258,581
42511,102,450,275,528
42612,101,534,336,460
42713,101,459,351,367
42814,101,372,347,324
42915,101,277,319,358
43017,102,239,301,436
43118,101,275,271,526
43219,101,405,266,577
43321,102,487,301,524
43421,100,492,347,436
43523,102,445,352,379
43624,101,353,348,328
43725,101,283,337,373
43827,102,208,275,443
43928,101,340,257,586
44029,101,474,286,591
44130,101,496,327,461
44231,101,462,348,393
44333,102,374,346,326
44434,101,278,325,337
44535,101,233,304,429
44637,102,240,252,565
44738,101,416,278,576
44838,100,521,317,494
44940,102,477,345,396
45041,101,393,343,328
45143,102,307,338,332
45244,101,295,310,432
45345,101,267,259,558
45447,102,402,272,575
45547,100,505,303,522
45648,101,494,324,446
45750,102,424,342,355
45851,101,329,337,306
45953,102,236,320,380
46054,101,240,281,516
46155,101,342,256,600
