Time,Delta Time,X,Y,Z
83610,0,356,319,447
83712,102,358,329,450
83813,101,338,323,452
100,-83713,509,317,502
201,101,453,327,413
303,102,420,347,344
404,101,311,339,320
504,100,199,306,415
606,102,250,284,529
707,101,396,272,542
808,101,511,275,543
909,101,486,306,455
1010,101,445,335,389
1112,102,364,342,309
1213,101,302,335,340
1314,101,237,298,468
1415,101,314,289,534
1516,101,499,256,592
1617,101,452,281,503
1719,102,469,314,413
1820,101,412,352,344
1922,102,322,324,347
2022,100,256,329,403
2123,101,292,275,585
2225,102,405,274,575
2326,101,480,287,527
2427,101,478,309,461
2528,101,436,324,382
2629,101,364,342,333
2731,102,289,339,366
2832,101,234,296,466
2933,101,319,285,538
3034,101,417,245,609
3135,101,494,303,487
3236,101,469,322,413
3338,102,409,339,337
3439,101,328,346,343
3539,100,256,318,407
3641,102,288,296,499
3742,101,441,245,591
3844,102,511,291,538
3945,101,491,312,453
4046,101,441,328,370
4147,101,392,334,316
4248,101,300,333,348
4349,101,138,280,458
4451,102,304,256,546
4552,101,441,251,601
4653,101,479,291,503
4754,101,467,329,387
4855,101,405,348,327
4957,102,321,338,360
5058,101,239,297,387
5158,100,274,276,532
5260,102,405,244,635
5361,101,506,296,523
5463,102,480,331,416
5564,101,418,353,317
5665,101,349,322,339
5766,101,239,328,387
5867,101,258,297,499
5968,101,335,228,581
6070,102,434,267,537
6171,101,481,302,452
6272,101,430,335,356
6373,101,368,352,320
6474,101,248,310,390
6576,102,219,283,487
6677,101,331,259,601
6777,100,437,285,565
6879,102,465,305,476
6980,101,441,334,389
7081,101,372,336,344
7183,102,299,339,354
7284,101,232,303,416
7385,101,277,263,577
7486,101,371,257,591
7587,101,519,308,518
7689,102,485,326,418
7790,101,421,330,357
7890,100,317,354,280
7992,102,248,319,387
8093,101,185,279,504
8195,102,302,248,624
8296,101,425,277,529
8396,100,473,315,449
8498,102,448,337,372
8599,101,384,350,318
8700,101,272,325,372
8802,102,266,311,448
8903,101,349,246,591
9004,101,468,271,587
9105,101,487,305,487
9206,101,467,338,380
9308,102,386,324,314
9409,101,308,334,344
9509,100,250,316,450
9611,102,307,264,575
9712,101,533,263,620
9814,102,469,301,450
9915,101,433,328,385
10015,100,377,341,332
10117,102,304,336,355
10218,101,271,313,465
10319,101,296,276,562
10421,102,447,278,568
10522,101,518,301,509
10624,102,474,332,389
10724,100,395,348,313
10825,101,299,321,351
10927,102,251,321,417
11028,101,276,266,574
11129,101,414,239,610
11231,102,527,296,502
11332,101,477,314,417
11433,101,417,346,337
11534,101,338,338,336
11635,101,242,324,395
11737,102,290,287,505
11838,101,378,244,609
11939,101,523,270,558
12041,102,477,311,440
12142,101,426,330,357
12242,100,376,335,311
12344,102,268,311,394
12445,101,213,299,477
12547,102,336,269,562
12648,101,484,265,558
12749,101,490,302,463
12851,102,447,333,377
12951,100,396,347,325
13052,101,311,330,342
13154,102,243,319,415
13255,101,336,255,612
13357,102,479,228,591
13458,101,504,297,458
13559,101,474,335,367
13660,101,378,317,356
13761,101,314,345,344
13862,101,229,311,429
13964,102,273,278,553
14065,101,443,252,626
14167,102,500,293,515
14268,101,471,325,388
14368,100,402,346,314
14470,102,322,333,323
14571,101,245,312,429
14672,101,276,272,551
14774,102,492,264,601
14875,101,540,305,514
14977,102,456,316,410
15077,100,399,352,340
15178,101,347,348,336
15280,102,250,327,373
15381,101,241,277,498
15482,101,383,243,603
15584,102,453,272,556
15685,101,498,302,462
15785,100,462,335,378
15887,102,384,343,337
15988,101,290,333,356
16090,102,284,315,437
16191,101,286,295,548
16292,101,397,239,614
16394,102,520,292,509
16494,100,471,323,403
16595,101,420,339,331
16697,102,324,340,343
16798,101,256,318,417
16900,102,248,313,472
17001,101,378,240,616
17102,101,533,284,525
17203,101,511,342,393
17304,101,443,342,344
17405,101,355,335,325
17507,102,247,327,401
17608,101,282,298,503
17710,102,340,252,581
17811,101,487,270,577
17911,100,527,321,457
18013,102,432,328,373
18114,101,374,345,322
18215,101,276,327,375
18317,102,251,302,459
18418,101,355,289,558
18520,102,436,278,582
18620,100,495,297,499
18721,101,490,334,400
18823,102,406,330,350
18924,101,313,332,342
19025,101,228,316,414
19127,102,293,315,535
19228,101,417,277,616
19329,101,518,295,542
19430,101,481,339,394
19531,101,384,340,332
19633,102,329,344,322
19734,101,279,329,404
19835,101,285,292,523
19937,102,396,261,578
20037,100,502,279,548
20139,102,505,322,452
20240,101,438,347,373
20341,101,337,335,343
20443,102,292,334,377
20544,101,263,324,440
20645,101,291,297,515
20746,101,410,257,612
