Time,Delta Time,X,Y,Z
201184,0,305,331,439
201284,100,325,312,517
200981,-303,348,367,398
201082,101,317,353,410
201184,102,305,331,439
201284,100,325,312,517
0,-201284,414,343,432
100,100,394,361,393
201,101,363,365,398
303,102,352,364,407
404,101,308,355,400
504,100,326,340,443
606,102,322,305,498
707,101,398,292,529
808,101,407,297,510
909,101,442,317,482
1010,101,430,329,455
1112,102,421,355,406
1213,101,383,363,378
1314,101,349,375,372
1416,102,293,352,403
1516,100,289,324,467
1617,101,331,309,504
1719,102,398,294,531
1820,101,403,303,489
1922,102,441,317,482
2022,100,439,346,441
2123,101,406,355,412
2225,102,373,372,364
2326,101,335,360,382
2427,101,300,333,452
2528,101,289,306,503
2629,101,398,303,554
2731,102,434,304,514
2832,101,457,320,494
2933,101,437,327,452
3034,101,420,351,402
3135,101,373,369,360
3236,101,323,362,372
3338,102,286,342,424
3439,101,327,330,508
3540,101,384,304,546
3641,101,420,291,523
3742,101,457,327,481
3844,102,441,341,444
3945,101,428,349,408
4046,101,360,347,373
4147,101,318,351,380
4248,101,283,332,428
4349,101,324,321,508
4451,102,379,287,552
4552,101,433,312,508
4653,101,468,324,487
4754,101,419,334,423
4855,101,404,358,387
4957,102,337,358,379
5058,101,310,362,394
5159,101,293,337,441
5260,101,303,324,478
5361,101,380,304,556
5463,102,413,291,536
5564,101,441,315,485
5665,101,447,335,446
5766,101,432,351,408
5867,101,379,355,384
5968,101,342,351,390
6070,102,282,339,401
6171,101,313,324,481
6272,101,312,306,515
6373,101,386,289,527
6474,101,437,315,495
6576,102,470,335,475
6677,101,439,346,425
6778,101,398,357,405
6879,101,348,364,368
6980,101,319,350,392
7081,101,302,336,447
7183,102,289,330,470
7284,101,345,305,537
7385,101,390,297,530
7486,101,418,314,498
7587,101,455,353,435
7689,102,414,351,403
7790,101,365,352,393
7890,100,325,345,395
7992,102,267,343,419
8093,101,304,325,493
8195,102,326,307,512
8296,101,409,296,525
8397,101,452,319,503
8498,101,466,339,469
8599,101,428,349,414
8700,101,399,359,385
8802,102,358,360,382
8903,101,313,355,394
9004,101,284,329,443
9105,101,290,326,482
9206,101,348,303,509
9308,102,402,302,527
9409,101,451,310,505
9509,100,431,329,446
9611,102,416,361,392
9712,101,384,367,381
9814,102,320,363,380
9915,101,309,343,432
10016,101,309,326,493
10117,101,325,305,529
10218,101,386,303,526
10319,101,414,309,512
10421,102,451,328,480
10522,101,425,348,426
10624,102,391,367,383
10725,101,362,367,386
10825,100,316,360,389
10927,102,296,332,437
11028,101,294,332,479
11129,101,357,310,512
11231,102,382,297,502
11332,101,435,323,496
11433,101,436,331,462
11534,101,427,370,396
11635,101,383,350,400
11737,102,349,368,383
11838,101,289,348,405
11939,101,292,321,471
12041,102,312,319,498
12142,101,369,288,525
12242,100,400,298,494
12344,102,481,327,493
12445,101,443,336,455
12547,102,404,354,395
12648,101,383,357,377
12749,101,328,363,378
12851,102,307,351,440
12951,100,272,336,454
13052,101,290,315,486
13154,102,347,300,496
13255,101,404,292,507
13357,102,464,315,499
13458,101,425,325,446
13559,101,433,354,422
13660,101,397,357,384
13761,101,327,373,371
13862,101,294,362,407
13964,102,308,334,463
14065,101,324,283,513
14167,102,365,299,514
14268,101,383,290,508
14368,100,439,314,500
14470,102,447,344,460
14571,101,418,352,413
14672,101,368,355,372
14774,102,343,368,394
14875,101,297,342,417
14977,102,311,333,458
15077,100,274,310,499
15178,101,362,307,514
15280,102,394,301,506
15381,101,434,307,496
15482,101,453,326,473
15584,102,424,344,424
15685,101,400,362,395
15785,100,364,370,370
15887,102,320,353,393
15988,101,297,355,427
16090,102,277,312,489
16191,101,345,301,527
16292,101,411,287,542
16394,102,402,307,495
16494,100,438,320,473
16595,101,442,343,419
16697,102,397,359,378
16798,101,331,363,407
16900,102,306,368,404
17001,101,331,368,435
17102,101,290,326,487
17203,101,341,297,514
17304,101,395,287,516
17405,101,434,305,487
17507,102,468,326,475
17608,101,448,340,426
17710,102,409,339,405
17811,101,379,360,383
17911,100,310,362,390
18013,102,296,350,407
18114,101,322,332,467
18215,101,341,295,532
18317,102,362,296,513
18418,101,427,303,500
18520,102,461,318,490
18620,100,446,336,444
18721,101,420,364,393
18823,102,373,360,373
18924,101,329,367,381
19025,101,335,370,423
19127,102,328,346,473
19228,101,307,326,495
19329,101,365,306,513
19430,101,419,304,498
19531,101,456,313,499
19633,102,441,332,457
19734,101,429,357,410
19835,101,389,361,378
19937,102,350,373,375
20037,100,296,348,407
20139,102,293,354,432
20240,101,319,312,507
20341,101,362,314,505
20443,102,396,304,501
20544,101,449,322,494
20645,101,435,329,457
20746,101,419,359,406
20847,101,385,364,379
20948,101,339,365,376
21050,102,303,359,410
21151,101,306,342,485
21253,102,296,324,495
21354,101,382,316,485
21454,100,447,295,518
21556,102,445,327,477
21657,101,439,338,446
21758,101,436,358,415
21860,102,379,360,377
21961,101,334,362,390
22063,102,292,366,406
22163,100,287,335,456
22264,101,302,299,534
22366,102,368,305,514
22467,101,414,302,503
22568,101,448,331,474
22670,102,448,358,429
22771,101,426,366,396
22872,101,384,364,368
22973,101,330,357,402
23074,101,306,358,406
23176,102,320,341,487
23277,101,360,312,531
23378,101,431,296,529
23480,102,468,318,495
23580,100,455,328,460
23682,102,431,350,423
23783,101,398,357,384
23884,101,365,375,391
23986,102,325,360,403
24087,101,280,341,434
24188,101,280,325,481
24289,101,363,293,544
24390,101,403,298,513
24492,102,458,321,483
24593,101,455,340,444
24694,101,420,345,416
24796,102,378,362,377
24897,101,356,378,377
24997,100,285,343,420
25099,102,293,331,453
25200,101,298,322,496
25302,102,380,299,524
25403,101,419,304,501
25504,101,467,330,483
25606,102,420,332,449
25706,100,419,365,401
25807,101,381,365,373
25909,102,332,363,391
26010,101,281,353,413
26112,102,293,334,465
26213,101,319,304,516
26314,101,396,289,542
26415,101,441,309,510
26516,101,480,342,468
26617,101,441,359,410
26719,102,408,365,375
26820,101,374,368,384
26921,101,323,350,373
27023,102,311,352,413
27123,100,284,321,484
27225,102,378,301,515
27326,101,412,307,493
27427,101,455,316,486
27529,102,453,332,454
27630,101,427,350,413
27731,101,395,358,372
27832,101,349,370,372
27933,101,293,347,406
28035,102,272,335,461
28136,101,291,301,533
28237,101,366,297,549
28339,102,416,313,506
28440,101,446,330,486
28540,100,434,343,452
28642,102,414,357,392
28743,101,381,364,393
28845,102,327,362,390
28946,101,287,341,406
29047,101,264,310,464
29149,102,322,295,548
29249,100,362,299,497
29350,101,416,300,490
29452,102,450,326,484
29553,101,448,346,454
29655,102,418,367,376
29756,101,368,369,373
29857,101,318,353,396
29958,101,277,330,434
30059,101,306,329,460
30160,101,358,295,541
30262,102,408,299,522
30363,101,424,322,479
30465,102,425,322,467
30566,101,441,359,413
30666,100,417,360,385
30768,102,348,370,380
30869,101,312,363,399
30970,101,279,333,451
31072,102,266,318,500
31173,101,342,301,518
31275,102,404,303,506
31375,100,461,329,477
31476,101,448,341,452
31578,102,420,351,420
31679,101,387,372,379
31780,101,347,367,379
31882,102,285,356,396
31983,101,296,336,469
32083,100,327,320,514
32185,102,355,308,511
32286,101,398,298,514
32388,102,440,324,497
32489,101,457,359,462
32590,101,392,361,400
32692,102,377,362,389
32792,100,344,365,389
32893,101,324,370,413
32995,102,293,330,473
33096,101,320,327,492
33198,102,374,303,531
33299,101,381,303,522
33400,101,419,324,496
33501,101,422,348,442
33602,101,401,371,407
33703,101,393,377,389
33805,102,357,369,389
33906,101,300,348,405
34008,102,316,341,482
34109,101,348,304,550
34209,100,399,289,557
34311,102,448,317,507
34412,101,442,339,464
34513,101,421,349,432
34615,102,403,365,407
34716,101,366,378,375
34818,102,309,361,397
34918,100,299,357,417
35019,101,315,339,487
35121,102,308,315,511
35222,101,390,296,551
35323,101,405,314,511
35425,102,450,342,459
35526,101,434,356,422
35627,101,399,360,399
35728,101,348,371,384
35829,101,319,367,390
35931,102,279,345,436
36032,101,291,344,462
36133,101,317,312,518
36235,102,393,304,528
36335,100,483,337,503
36436,101,426,346,454
36538,102,419,369,409
36639,101,360,379,374
36741,102,330,375,395
36842,101,302,359,406
36943,101,331,351,435
37044,101,317,327,503
37145,101,372,309,526
37246,101,429,306,529
37348,102,441,323,492
37449,101,427,349,449
37551,102,407,364,406
37652,101,373,364,385
37752,100,341,370,391
37854,102,320,359,421
37955,101,293,341,465
38056,101,313,312,511
38158,102,353,277,545
38259,101,417,308,512
38361,102,428,328,489
38461,100,426,347,446
38562,101,398,352,408
38664,102,360,363,388
38765,101,344,367,404
38866,101,292,353,430
38968,102,308,348,470
39069,101,362,294,568
39170,101,388,279,553
39271,101,439,328,496
39372,101,473,337,481
39474,102,427,344,414
39575,101,393,354,379
39676,101,356,365,381
39778,102,308,369,400
39878,100,303,351,459
