Time,Delta Time,X,Y,Z
4754,0,376,318,452
4855,101,368,313,451
4957,102,375,317,445
5058,101,383,323,448
4754,-304,376,318,452
4855,101,368,313,451
4957,102,375,317,445
5058,101,383,323,448
4754,-304,376,318,452
4855,101,368,313,451
4957,102,375,317,445
5058,101,383,323,448
0,-5058,369,332,476
100,100,390,335,457
201,101,392,332,453
303,102,394,318,459
404,101,367,323,461
504,100,386,328,482
606,102,407,340,481
707,101,400,345,471
808,101,400,352,430
909,101,389,365,412
1010,101,368,368,434
1112,102,343,371,429
1213,101,318,365,420
1314,101,329,351,435
1415,101,340,347,443
1516,101,361,338,468
1617,101,342,318,475
1719,102,361,316,475
1820,101,375,301,483
1922,102,382,307,457
2022,100,392,310,470
2123,101,399,313,473
2225,102,416,325,474
2326,101,397,336,456
2427,101,391,361,420
2528,101,388,362,428
2629,101,349,374,423
2731,102,353,367,431
2832,101,350,364,433
2933,101,322,348,457
3034,101,358,349,463
3135,101,369,342,465
3236,101,380,329,493
3338,102,388,320,474
3439,101,381,306,477
3539,100,386,304,492
3641,102,398,320,469
3742,101,425,336,475
3844,102,406,348,448
3945,101,407,359,424
4046,101,374,370,403
4147,101,364,377,415
4248,101,362,375,424
4349,101,338,351,433
4451,102,335,358,441
4552,101,334,343,465
4653,101,337,315,497
4754,101,380,309,517
4855,101,365,320,458
4957,102,381,312,473
5058,101,414,324,484
5158,100,423,328,484
5260,102,405,342,452
5361,101,390,355,427
5463,102,396,382,411
5564,101,370,382,414
5665,101,357,375,433
5766,101,333,364,427
5867,101,320,347,442
5968,101,349,343,460
6070,102,384,337,483
6171,101,394,316,482
6272,101,382,311,473
6373,101,405,307,479
6474,101,415,329,465
6576,102,425,333,470
6677,101,417,355,445
6777,100,414,365,431
6879,102,385,377,394
6980,101,372,381,402
7081,101,359,372,421
7183,102,341,353,443
7284,101,332,344,457
7385,101,355,341,474
7486,101,370,317,496
7587,101,372,305,480
7689,102,409,298,481
7790,101,393,299,478
7890,100,410,312,481
7992,102,418,330,464
8093,101,413,349,444
8195,102,384,354,434
8296,101,375,375,410
8396,100,368,382,428
8498,102,347,374,431
8599,101,338,364,433
8700,101,333,355,438
8802,102,357,339,458
8903,101,348,323,467
9004,101,376,291,478
9105,101,388,290,470
9206,101,388,282,473
9308,102,389,298,465
9409,101,418,309,469
9509,100,411,331,456
9611,102,406,357,416
9712,101,386,358,429
9814,102,370,370,405
9915,101,366,375,427
10016,101,343,369,424
10117,101,321,347,441
10218,101,338,349,455
10319,101,347,331,471
10421,102,347,320,466
10522,101,379,299,452
10624,102,408,304,469
10725,101,404,289,479
10825,100,405,311,472
10927,102,420,321,470
11028,101,400,338,435
11129,101,393,353,433
11231,102,369,365,432
11332,101,367,372,428
11433,101,351,366,428
11534,101,324,354,442
11635,101,350,357,433
11737,102,358,351,451
11838,101,348,316,487
11939,101,366,309,484
12041,102,377,291,473
12142,101,402,303,473
12242,100,394,304,480
12344,102,424,318,470
12445,101,415,339,443
12547,102,389,355,418
12648,101,380,367,407
12749,101,364,372,427
12851,102,352,370,422
12951,100,343,362,434
13052,101,341,354,432
13154,102,359,343,442
13255,101,369,318,470
13357,102,364,304,472
13458,101,408,302,476
13559,101,397,293,474
13660,101,415,307,472
13761,101,423,313,474
13862,101,420,331,466
13964,102,406,352,423
14065,101,388,364,416
14167,102,370,373,408
14268,101,370,375,424
14368,100,348,366,431
14470,102,327,361,435
14571,101,341,351,446
14672,101,345,339,448
14774,102,360,307,479
14875,101,383,304,495
14977,102,382,289,471
15077,100,394,288,469
15178,101,401,296,476
15280,102,411,312,468
15381,101,393,332,447
15482,101,400,362,425
15584,102,382,361,419
15685,101,372,360,416
15785,100,362,369,426
15887,102,331,359,433
15988,101,312,349,430
16090,102,339,338,449
16191,101,334,310,483
16292,101,376,288,509
16394,102,373,294,471
16494,100,386,276,488
16595,101,400,306,469
16697,102,402,317,457
16798,101,390,330,447
16900,102,385,350,438
17001,101,383,367,424
17102,101,373,375,416
17203,101,350,374,414
17304,101,343,368,419
17405,101,327,349,446
17507,102,331,335,455
17608,101,333,320,462
17710,102,329,303,454
17811,101,368,284,488
17911,100,399,297,468
18013,102,379,291,468
18114,101,408,314,473
18215,101,411,327,466
18317,102,404,347,442
18418,101,387,361,419
18520,102,376,369,418
18620,100,358,367,422
18721,101,355,368,427
18823,102,337,361,446
18924,101,334,352,448
19025,101,371,345,455
19127,102,349,323,464
19228,101,370,314,456
19329,101,402,282,506
19430,101,416,300,480
19531,101,427,312,471
19633,102,417,327,464
19734,101,407,345,446
19835,101,389,364,427
19937,102,382,375,418
20037,100,352,372,424
20139,102,353,371,425
20240,101,330,355,442
20341,101,353,357,440
20443,102,349,338,464
20544,101,336,316,490
20645,101,340,301,480
20746,101,401,298,489
20847,101,427,322,463
20948,101,413,314,492
21050,102,423,336,471
21151,101,401,351,435
21253,102,364,366,394
21354,101,359,366,410
21454,100,346,372,423
21556,102,345,359,449
21657,101,333,349,430
21758,101,332,338,453
21860,102,337,327,471
21961,101,353,295,481
22063,102,374,294,476
22163,100,402,280,497
22264,101,398,298,474
22366,102,429,313,466
22467,101,425,330,457
22568,101,392,343,448
22670,102,377,368,411
22771,101,360,373,418
22872,101,352,372,421
22973,101,359,367,444
23074,101,338,353,451
23176,102,341,343,455
23277,101,338,337,449
23378,101,362,308,494
23480,102,396,319,475
23580,100,404,303,469
23682,102,408,298,472
23783,101,395,302,468
23884,101,438,328,468
23986,102,418,334,463
24087,101,390,347,433
24188,101,382,363,410
24289,101,366,379,412
24390,101,348,373,429
24492,102,345,360,455
24593,101,336,360,448
24694,101,353,351,448
24796,102,368,341,454
24897,101,379,324,472
24997,100,393,314,483
25099,102,387,305,463
25200,101,392,302,471
25302,102,396,315,457
25403,101,413,317,472
25504,101,409,323,471
25606,102,388,350,427
25706,100,374,361,423
25807,101,368,370,426
25909,102,345,373,424
26010,101,336,366,431
26112,102,339,357,443
26213,101,336,352,457
26314,101,339,341,457
26415,101,353,336,441
26516,101,345,312,470
26617,101,376,297,485
26719,102,383,296,470
26820,101,381,304,462
26921,101,396,309,484
27023,102,400,320,475
27123,100,397,340,439
27225,102,390,357,419
27326,101,380,366,420
27427,101,377,376,424
27529,102,353,374,422
27630,101,336,364,434
27731,101,327,354,447
27832,101,364,354,449
27933,101,379,348,455
28035,102,373,330,462
28136,101,384,318,466
28237,101,387,312,473
28339,102,392,314,459
28440,101,383,303,466
28540,100,416,314,470
28642,102,422,331,471
28743,101,393,338,437
28845,102,381,356,431
28946,101,367,368,414
29047,101,364,376,423
29149,102,344,372,422
29249,100,330,368,437
29350,101,324,355,457
29452,102,336,344,456
29553,101,325,320,488
29655,102,370,318,476
29756,101,388,299,483
29857,101,387,305,468
29958,101,400,309,480
30059,101,404,317,476
30160,101,414,330,469
30262,102,400,344,445
30363,101,370,357,429
30465,102,362,367,429
30566,101,354,375,440
30666,100,345,371,429
30768,102,330,362,430
30869,101,321,353,439
30970,101,330,337,449
31072,102,341,322,482
31173,101,356,307,481
31275,102,371,308,467
31375,100,388,294,485
31476,101,385,295,478
31578,102,405,313,476
31679,101,408,324,456
31780,101,396,344,441
31882,102,381,356,446
31983,101,371,365,421
32083,100,369,379,427
32185,102,337,372,412
32286,101,331,362,430
32388,102,334,361,431
32489,101,333,329,471
32590,101,327,315,464
32692,102,369,312,471
32792,100,391,307,479
32893,101,369,300,470
32995,102,412,324,480
33096,101,396,317,480
33198,102,394,331,465
33299,101,394,355,418
33400,101,393,368,419
33501,101,371,373,418
33602,101,357,383,414
33703,101,338,363,436
33805,102,330,355,439
33906,101,329,350,464
34008,102,337,335,459
34109,101,350,322,461
34209,100,369,315,473
34311,102,377,279,495
34412,101,368,287,479
34513,101,387,299,475
34615,102,407,317,478
34716,101,408,347,450
34818,102,385,354,431
34918,100,366,372,419
35019,101,359,374,426
35121,102,347,368,438
35222,101,335,362,435
35323,101,326,353,450
35425,102,343,348,441
35526,101,338,327,460
35627,101,351,313,464
35728,101,364,300,460
35829,101,383,301,460
35931,102,389,288,479
36032,101,393,307,469
36133,101,418,321,473
36235,102,394,338,445
36335,100,381,356,428
36436,101,355,365,432
36538,102,353,363,437
36639,101,351,367,444
36741,102,350,368,438
36842,101,341,358,446
36943,101,344,353,442
37044,101,338,335,450
37145,101,361,318,476
37246,101,370,294,498
37348,102,378,287,491
37449,101,390,300,479
37551,102,401,308,468
37652,101,406,326,461
37752,100,390,333,459
37854,102,384,356,434
37955,101,364,368,426
38056,101,356,374,419
38158,102,354,380,424
38259,101,336,366,432
38361,102,312,351,437
38461,100,333,339,458
38562,101,348,343,445
38664,102,335,312,443
38765,101,369,306,491
38866,101,378,303,484
38968,102,390,312,475
39069,101,400,316,480
39170,101,408,339,453
39271,101,394,348,441
39372,101,378,360,418
39474,102,356,374,417
39575,101,345,376,427
39676,101,338,373,431
39778,102,322,363,435
39878,100,323,356,441
39980,102,341,347,446
40081,101,313,324,436
40182,101,363,305,479
40284,102,387,301,507
40385,101,365,297,480
40486,101,373,310,460
40587,101,398,322,476
40688,101,394,331,464
40790,102,387,349,448
40891,101,386,365,425
40992,101,376,373,422
41094,102,348,377,428
41195,101,345,372,437
41295,100,329,364,438
41397,102,335,356,439
41498,101,334,337,466
41600,102,335,323,475
41701,101,332,317,485
41802,101,364,309,487
41904,102,395,301,481
42004,100,373,286,493
42105,101,390,306,476
42207,102,405,332,465
42308,101,384,340,453
42409,101,386,357,431
42511,102,361,374,411
42612,101,355,380,429
42713,101,345,378,422
