Time,Delta Time,X,Y,Z
5665,0,529,274,598
5361,-304,309,306,500
5463,102,355,322,490
5564,101,323,293,542
5665,101,529,274,598
5361,-304,309,306,500
5463,102,355,322,490
5564,101,323,293,542
5665,101,529,274,598
0,-5665,423,344,374
100,100,352,359,342
201,101,289,367,358
303,102,259,334,442
404,101,309,344,482
504,100,316,319,537
606,102,461,294,574
707,101,483,332,479
808,101,414,355,370
909,101,362,363,330
1010,101,286,365,365
1112,102,245,326,440
1213,101,264,327,511
1314,101,350,290,566
1415,101,464,318,552
1516,101,436,339,444
1617,101,410,358,365
1719,102,356,357,364
1820,101,307,352,381
1922,102,239,314,432
2022,100,273,308,519
2123,101,379,295,571
2225,102,473,318,527
2326,101,463,344,424
2427,101,423,347,371
2528,101,326,358,307
2629,101,273,351,390
2731,102,295,303,477
2832,101,359,259,613
2933,101,452,290,584
3034,101,499,336,465
3135,101,438,338,399
3236,101,390,350,350
3338,102,329,349,362
3439,101,239,332,390
3539,100,284,281,598
3641,102,398,320,609
3742,101,464,324,554
3844,102,467,341,458
3945,101,416,349,384
4046,101,368,352,367
4147,101,268,347,362
4248,101,267,315,434
4349,101,284,310,527
4451,102,397,315,572
4552,101,439,321,543
4653,101,451,344,458
4754,101,443,350,400
4855,101,348,354,331
4957,102,294,360,367
5058,101,265,307,460
5158,100,278,285,520
5260,102,438,287,627
5361,101,490,338,499
5463,102,463,339,432
5564,101,410,355,354
5665,101,351,358,336
5766,101,275,331,397
5867,101,218,289,485
5968,101,348,295,613
6070,102,495,308,571
6171,101,461,337,463
6272,101,432,351,382
6373,101,382,350,344
6474,101,288,343,338
6576,102,202,300,418
6677,101,294,302,575
6777,100,468,272,618
6879,102,489,356,462
6980,101,439,353,404
7081,101,391,349,343
7183,102,287,338,344
7284,101,235,297,432
7385,101,240,267,535
7486,101,411,266,623
7587,101,493,314,541
7689,102,458,337,413
7790,101,394,341,366
7890,100,332,358,321
7992,102,242,323,355
8093,101,250,271,542
8195,102,360,264,626
8296,101,519,311,567
8397,101,499,343,423
8498,101,422,344,370
8599,101,338,355,345
8700,101,223,328,384
8802,102,258,298,482
8903,101,349,290,592
9004,101,454,283,596
9105,101,489,336,466
9206,101,439,344,371
9308,102,361,342,332
9409,101,266,350,347
9509,100,240,289,466
9611,102,309,286,578
9712,101,462,267,616
9814,102,474,324,482
9915,101,447,343,397
10016,101,362,356,314
10117,101,270,348,347
10218,101,233,315,431
10319,101,296,285,566
10421,102,459,292,590
10522,101,473,318,531
10624,102,474,344,411
10725,101,391,336,358
10825,100,333,350,358
10927,102,220,338,400
11028,101,214,283,504
11129,101,397,277,598
11231,102,489,317,562
11332,101,468,330,438
11433,101,400,333,386
11534,101,351,359,344
11635,101,248,348,383
11737,102,264,337,428
11838,101,306,313,527
11939,101,457,312,587
12041,102,451,325,508
12142,101,441,343,421
12242,100,393,355,354
12344,102,325,340,352
12445,101,266,323,393
12547,102,216,334,449
12648,101,366,308,566
12749,101,497,295,602
12851,102,472,314,475
12951,100,432,341,368
13052,101,365,335,341
13154,102,259,335,373
13255,101,204,326,446
13357,102,360,319,609
13458,101,520,272,648
13559,101,486,343,440
13660,101,423,347,349
13761,101,325,353,308
13862,101,246,347,364
13964,102,237,309,452
14065,101,330,299,608
14167,102,452,272,609
14268,101,502,349,462
14368,100,433,334,374
14470,102,361,351,344
14571,101,293,355,370
14672,101,259,331,426
14774,102,232,299,540
14875,101,436,272,640
14977,102,480,294,534
15077,100,463,348,398
15178,101,387,352,317
15280,102,301,346,345
15381,101,237,316,397
15482,101,291,312,536
15584,102,355,309,600
15685,101,500,325,566
15785,100,461,345,421
15887,102,398,340,350
15988,101,314,346,342
16090,102,250,323,399
16191,101,270,294,589
16292,101,411,271,669
16394,102,511,319,535
16494,100,464,335,411
16595,101,397,347,322
16697,102,336,363,323
16798,101,260,326,440
16900,102,296,326,525
17001,101,355,289,583
17102,101,511,282,585
17203,101,491,336,445
17304,101,424,348,358
17405,101,337,345,356
17507,102,283,337,395
17608,101,231,297,513
17710,102,335,320,530
17811,101,477,292,589
17911,100,460,293,476
18013,102,448,346,373
18114,101,380,354,344
18215,101,283,341,376
18317,102,223,313,422
18418,101,327,281,574
18520,102,437,275,613
18620,100,462,314,496
18721,101,457,340,405
18823,102,398,350,367
18924,101,301,355,352
19025,101,247,342,388
19127,102,255,311,516
19228,101,339,323,553
19329,101,452,293,574
19430,101,491,330,467
19531,101,416,345,377
19633,102,354,355,346
19734,101,281,349,367
19835,101,253,310,463
19937,102,341,347,501
20037,100,427,310,587
20139,102,492,334,498
20240,101,445,335,401
20341,101,401,349,345
20443,102,299,355,329
20544,101,253,329,430
20645,101,276,338,512
20746,101,377,292,578
20847,101,498,330,546
20948,101,462,332,435
21050,102,410,350,351
21151,101,343,354,334
21253,102,273,337,376
21354,101,272,300,513
21454,100,344,322,574
21556,102,454,300,580
21657,101,529,310,517
21758,101,436,333,369
21860,102,377,351,343
21961,101,302,351,364
22063,102,219,314,445
22163,100,277,323,557
22264,101,468,299,609
22366,102,537,339,490
22467,101,447,340,356
22568,101,389,352,347
22670,102,304,352,362
22771,101,242,322,417
22872,101,293,317,564
22973,101,389,286,615
23074,101,477,328,486
23176,102,461,344,390
23277,101,387,348,351
23378,101,309,358,354
23480,102,262,340,393
23580,100,256,294,537
23682,102,343,301,597
23783,101,472,314,562
23884,101,455,345,461
23986,102,403,358,371
24087,101,366,352,339
24188,101,276,336,385
24289,101,244,328,457
24390,101,293,287,585
24492,102,446,310,599
24593,101,490,351,467
24694,101,445,347,382
24796,102,382,354,349
24897,101,298,344,379
24997,100,249,321,396
25099,102,261,281,585
25200,101,402,300,587
25302,102,487,304,537
25403,101,462,338,404
25504,101,390,349,335
25606,102,312,357,330
25706,100,247,312,413
25807,101,264,302,525
25909,102,365,275,609
26010,101,506,312,580
26112,102,442,333,423
26213,101,394,351,340
26314,101,325,350,336
26415,101,269,333,390
26516,101,260,297,486
26617,101,345,303,581
26719,102,440,291,589
26820,101,469,335,482
26921,101,423,353,386
27023,102,372,357,343
27123,100,310,367,342
27225,102,265,314,427
27326,101,230,310,524
27427,101,440,313,608
27529,102,506,334,538
27630,101,471,351,405
27731,101,412,346,365
27832,101,317,356,330
27933,101,227,323,403
28035,102,240,322,507
28136,101,394,276,652
28237,101,498,334,544
28339,102,472,340,431
28440,101,416,354,340
28540,100,329,359,327
28642,102,259,342,392
28743,101,259,301,542
28845,102,375,285,614
28946,101,500,320,569
29047,101,496,348,459
29149,102,418,350,348
29249,100,340,351,334
29350,101,266,356,381
29452,102,254,304,497
29553,101,318,311,566
29655,102,449,302,589
29756,101,502,353,477
29857,101,443,356,380
29958,101,372,361,337
30059,101,304,358,346
30160,101,241,336,409
30262,102,279,327,543
30363,101,396,278,613
