Time,Delta Time,X,Y,Z
28743,101,239,316,412
28845,102,232,273,544
28946,101,350,225,619
29047,101,547,313,564
29149,102,443,325,452
29249,100,404,353,333
29350,101,329,330,345
29452,102,266,320,395
29553,101,229,282,500
29655,102,316,268,563
29756,101,467,276,586
29857,101,490,316,451
29958,101,438,343,378
30059,101,358,353,320
30160,101,299,340,365
30262,102,268,316,465
30363,101,311,261,641
30465,102,453,322,566
30566,101,501,333,499
30666,100,437,340,394
30768,102,383,361,332
30869,101,305,335,336
30970,101,264,306,456
31072,102,259,241,600
31173,101,386,267,579
31275,102,537,314,542
31375,100,441,337,401
31476,101,398,355,339
31578,102,331,354,345
31679,101,241,291,409
31780,101,254,263,517
31882,102,366,263,589
31983,101,460,290,558
32083,100,460,323,445
32185,102,432,347,377
32286,101,366,346,337
32388,102,279,324,381
32489,101,226,315,429
32590,101,300,251,540
32692,102,400,234,608
32792,100,480,309,484
32893,101,430,339,368
32995,102,382,347,324
33096,101,289,332,360
33198,102,257,302,453
33299,101,283,250,542
33400,101,442,237,611
33501,101,496,291,514
33602,101,440,324,399
33703,101,416,343,348
33805,102,308,335,355
33906,101,233,327,409
34008,102,239,291,521
34109,101,358,246,579
34209,100,471,273,553
34311,102,469,310,443
34412,101,430,339,379
34513,101,362,363,333
34615,102,258,341,366
34716,101,249,301,477
34818,102,294,251,569
34918,100,467,278,560
35019,101,496,303,472
35121,102,450,337,382
35222,101,385,359,332
35323,101,270,333,360
35425,102,278,328,430
35526,101,285,272,557
35627,101,402,256,596
35728,101,490,297,518
35829,101,466,332,430
35931,102,431,357,363
36032,101,329,360,331
36133,101,251,310,402
36235,102,232,284,485
36335,100,300,267,536
36436,101,498,261,600
36538,102,484,297,456
36639,101,448,336,355
36741,102,376,337,348
36842,101,296,326,372
36943,101,224,311,434
37044,101,310,263,572
37145,101,478,281,596
37246,101,467,306,488
37348,102,451,359,348
37449,101,396,349,347
37551,102,294,340,347
37652,101,247,315,421
37752,100,253,278,532
37854,102,375,266,595
37955,101,495,301,537
38056,101,461,341,400
38158,102,405,350,354
38259,101,335,337,331
38361,102,274,316,408
38461,100,278,270,544
38562,101,356,266,605
38664,102,468,306,546
38765,101,457,328,444
38866,101,412,354,355
38968,102,371,350,328
39069,101,257,315,385
39170,101,214,293,482
39271,101,313,263,595
39372,101,448,289,559
39474,102,468,318,455
39575,101,433,343,369
39676,101,393,353,339
39778,102,270,329,368
39878,100,239,310,406
39980,102,254,217,579
40081,101,470,250,625
40182,101,443,282,511
40284,102,452,344,390
40385,101,414,356,351
40486,101,314,342,355
40587,101,219,312,380
40688,101,195,250,504
40790,102,287,249,596
40891,101,458,274,587
40992,101,490,327,451
41094,102,453,359,359
41195,101,378,321,328
41295,100,281,347,318
41397,102,273,291,464
41498,101,306,253,580
41600,102,428,223,602
41701,101,489,289,490
41802,101,475,343,373
41904,102,384,338,336
42004,100,310,344,362
42105,101,286,323,418
42207,102,228,262,492
42308,101,338,244,585
42409,101,480,272,564
42511,102,464,320,449
42612,101,422,359,320
42713,101,345,334,348
42814,101,272,304,389
42915,101,233,262,488
43017,102,387,238,594
43118,101,561,282,565
43219,101,512,319,413
43321,102,452,344,342
43421,100,349,330,310
43523,102,247,315,373
43624,101,253,279,493
43725,101,332,237,595
43827,102,528,291,555
43928,101,488,334,445
44029,101,453,351,373
44130,101,363,329,326
44231,101,279,319,350
44333,102,243,301,452
44434,101,265,264,530
44535,101,426,242,609
44637,102,506,297,495
44738,101,463,332,405
44838,100,430,344,353
44940,102,331,335,343
45041,101,287,317,402
45143,102,218,254,533
45244,101,328,245,564
45345,101,525,309,543
45447,102,493,334,457
45547,100,431,354,378
45648,101,371,351,322
45750,102,271,315,360
45851,101,296,276,474
45953,102,279,228,564
46054,101,475,257,565
46155,101,501,311,480
46256,101,451,349,387
46357,101,383,344,352
46458,101,282,332,354
46560,102,271,310,403
46661,101,218,225,555
46763,102,404,235,565
46864,101,481,292,535
46964,100,459,334,435
47066,102,454,359,358
47167,101,310,325,338
47268,101,258,331,362
47370,102,204,273,458
47471,101,304,240,543
47572,101,446,258,600
47673,101,473,298,505
47774,101,465,345,397
47876,102,397,346,326
47977,101,320,331,316
48078,101,292,297,423
48180,102,229,249,568
48281,101,398,280,584
48381,100,511,306,564
48483,102,472,344,421
48584,101,415,354,325
48686,102,344,330,335
48787,101,246,305,380
48888,101,241,266,492
48990,102,358,243,639
49090,100,529,312,588
49191,101,466,347,416
49293,102,412,361,329
49394,101,359,327,358
49496,102,277,324,377
49597,101,276,322,429
49698,101,285,218,607
49799,101,450,277,586
49900,101,502,319,497
50001,101,460,356,386
50103,102,397,347,342
50204,101,305,343,321
50306,102,262,317,417
50407,101,252,269,512
50507,100,355,264,624
50609,102,464,314,544
50710,101,497,336,436
50811,101,439,350,351
50913,102,339,339,316
51014,101,298,311,397
51116,102,234,309,444
51216,100,351,246,641
51317,101,454,300,560
51419,102,458,315,496
51520,101,430,358,368
51621,101,368,338,334
51723,102,292,350,333
51824,101,225,282,447
51924,100,270,230,581
52026,102,498,277,633
52127,101,464,296,483
52229,102,437,347,354
52330,101,386,343,329
52431,101,277,326,366
52533,102,176,291,457
52633,100,280,253,553
52734,101,457,244,627
52836,102,460,289,487
52937,101,441,354,379
53039,102,390,361,318
53140,101,277,340,352
53241,101,252,303,430
53342,101,259,235,553
53443,101,412,287,607
53544,101,502,319,504
53646,102,452,346,388
53747,101,400,361,342
53849,102,311,349,351
53950,101,275,310,427
54050,100,279,262,520
54152,102,415,255,644
54253,101,485,300,554
54354,101,476,351,402
54456,102,429,351,362
54557,101,338,326,335
54659,102,281,302,402
54759,100,265,266,526
54860,101,448,289,635
54962,102,472,296,546
55063,101,460,337,423
55164,101,417,351,357
55266,102,314,342,310
55367,101,253,323,370
55468,101,216,261,521
55569,101,358,223,613
55670,101,530,271,591
55772,102,454,304,427
55873,101,423,356,337
55974,101,348,354,326
56076,102,238,312,403
56176,100,235,270,517
56278,102,325,264,543
56379,101,482,257,605
56480,101,474,307,484
56582,102,462,353,388
56683,101,411,353,327
56784,101,294,344,320
56885,101,275,295,408
56986,101,239,229,581
57088,102,391,237,601
57189,101,484,283,536
57290,101,449,330,422
57392,102,408,357,361
57493,101,320,341,353
57593,100,258,326,385
57695,102,246,266,491
57796,101,312,224,614
57897,101,450,278,572
57999,102,476,314,477
58100,101,421,353,384
58202,102,355,344,330
58302,100,261,328,358
58403,101,240,288,473
58505,102,247,257,546
58606,101,444,270,582
58707,101,435,285,515
58809,102,443,335,435
58910,101,418,350,384
59011,101,327,346,306
59112,101,264,327,369
59213,101,248,295,499
59315,102,285,261,572
59416,101,402,278,555
59517,101,438,299,501
59619,102,426,341,399
59719,100,396,348,330
59821,102,302,344,334
59922,101,221,300,421
60023,101,224,264,508
60125,102,341,235,595
60226,101,444,274,556
60327,101,447,326,433
60428,101,384,344,360
60529,101,323,352,350
60631,102,243,338,355
60732,101,213,292,453
60833,101,266,232,558
60935,102,443,271,585
61036,101,462,314,471
