Time,Delta Time,X,Y,Z
8903,0,368,311,451
8599,-304,369,314,447
8700,101,366,315,451
8802,102,373,318,456
8903,101,368,311,451
0,-8903,276,321,475
100,100,349,273,582
201,101,432,291,572
303,102,500,323,519
404,101,447,345,403
504,100,339,357,304
606,102,287,326,371
707,101,275,338,443
808,101,277,326,504
909,101,337,275,551
1010,101,441,319,536
1112,102,454,353,441
1213,101,404,349,363
1314,101,344,329,367
1415,101,278,350,386
1516,101,275,336,432
1617,101,308,277,569
1719,102,416,298,586
1820,101,463,327,530
1922,102,453,331,441
2022,100,416,358,356
2123,101,345,361,352
2225,102,270,335,400
2326,101,236,307,478
2427,101,337,290,586
2528,101,442,302,584
2629,101,476,337,499
2731,102,450,340,412
2832,101,387,347,340
2933,101,303,351,357
3034,101,244,325,407
3135,101,260,306,499
3236,101,379,287,591
3338,102,477,320,542
3439,101,477,337,475
3539,100,438,355,393
3641,102,370,347,354
3742,101,309,347,365
3844,102,260,334,411
3945,101,268,309,509
4046,101,380,261,590
4147,101,452,291,562
4248,101,509,349,472
4349,101,448,348,386
4451,102,365,350,358
4552,101,305,340,367
4653,101,257,339,412
4754,101,277,316,489
4855,101,381,261,596
4957,102,463,301,549
5058,101,496,339,457
5158,100,418,352,356
5260,102,368,356,332
5361,101,292,338,375
5463,102,263,307,453
5564,101,284,289,544
5665,101,407,267,580
5766,101,473,306,522
5867,101,481,332,456
5968,101,412,355,353
6070,102,369,345,361
6171,101,278,324,402
6272,101,243,329,444
6373,101,285,282,542
6474,101,403,271,595
6576,102,466,322,502
6677,101,470,345,435
6777,100,404,351,374
6879,102,343,350,378
6980,101,291,338,391
7081,101,254,326,449
7183,102,301,308,538
7284,101,413,280,580
7385,101,464,316,519
7486,101,504,345,459
7587,101,407,340,365
7689,102,349,340,370
7790,101,264,344,395
7890,100,291,344,419
7992,102,277,289,504
8093,101,425,281,595
8195,102,445,317,521
8296,101,475,348,452
8396,100,444,349,379
8498,102,380,343,349
8599,101,273,334,364
8700,101,238,315,442
8802,102,292,297,546
8903,101,404,287,565
9004,101,452,317,511
9105,101,469,337,451
9206,101,445,369,370
9308,102,398,362,350
9409,101,287,346,364
9509,100,229,316,406
9611,102,295,306,532
9712,101,423,310,579
9814,102,483,334,518
9915,101,497,354,441
10016,101,425,357,365
10117,101,375,356,354
10218,101,282,344,367
10319,101,273,309,466
10421,102,302,309,523
10522,101,462,300,602
10624,102,466,319,521
10725,101,464,336,428
10825,100,406,349,349
10927,102,348,359,340
11028,101,266,323,415
11129,101,291,305,516
11231,102,357,298,572
11332,101,435,298,555
11433,101,506,347,458
11534,101,441,340,394
11635,101,369,353,354
11737,102,313,358,345
11838,101,248,329,417
11939,101,269,302,525
12041,102,373,285,591
12142,101,470,317,539
12242,100,500,348,452
12344,102,417,348,366
12445,101,350,355,345
12547,102,281,343,380
12648,101,293,323,464
12749,101,297,289,550
12851,102,381,310,533
12951,100,476,323,536
13052,101,469,342,460
13154,102,423,352,379
13255,101,377,346,361
13357,102,305,336,380
13458,101,300,335,419
13559,101,286,297,527
13660,101,382,272,566
13761,101,440,307,543
13862,101,481,346,468
13964,102,435,358,383
14065,101,370,344,351
14167,102,317,351,369
14268,101,272,326,423
14368,100,275,300,522
14470,102,341,292,534
14571,101,475,310,541
14672,101,492,339,480
14774,102,431,364,372
14875,101,382,352,353
14977,102,324,347,371
15077,100,279,339,406
15178,101,300,330,511
15280,102,366,305,586
15381,101,436,299,547
15482,101,489,341,463
15584,102,433,355,365
15685,101,372,351,366
15785,100,310,351,383
15887,102,257,312,478
15988,101,302,304,545
16090,102,410,292,569
16191,101,530,347,514
16292,101,469,338,440
16394,102,413,353,375
16494,100,351,357,344
16595,101,300,349,371
16697,102,271,299,472
16798,101,346,302,542
16900,102,442,315,569
17001,101,499,348,505
17102,101,445,334,461
17203,101,415,351,397
17304,101,388,364,329
17405,101,308,349,360
17507,102,280,334,432
17608,101,272,300,522
17710,102,384,303,544
17811,101,439,278,554
17911,100,467,313,478
18013,102,439,344,394
18114,101,381,349,347
18215,101,300,336,364
18317,102,272,303,449
18418,101,311,314,530
18520,102,381,252,590
18620,100,476,295,544
18721,101,448,322,431
18823,102,415,333,369
18924,101,349,345,340
19025,101,294,325,379
19127,102,255,286,474
19228,101,298,240,594
19329,101,420,248,612
19430,101,461,293,510
19531,101,440,324,398
19633,102,410,351,337
19734,101,317,339,344
19835,101,243,298,431
19937,102,267,308,476
20037,100,336,237,576
20139,102,455,283,547
20240,101,473,320,474
20341,101,434,339,378
20443,102,377,345,336
20544,101,314,337,367
20645,101,271,295,462
20746,101,335,281,507
20847,101,397,261,594
20948,101,463,288,524
21050,102,475,334,441
21151,101,406,335,363
21253,102,340,353,316
21354,101,290,318,352
21454,100,278,288,474
21556,102,270,242,554
21657,101,391,269,562
21758,101,442,304,507
21860,102,435,326,433
21961,101,403,351,357
22063,102,330,336,338
22163,100,294,310,400
22264,101,272,279,502
22366,102,325,260,582
22467,101,380,285,547
22568,101,471,308,517
22670,102,453,341,404
22771,101,408,343,335
22872,101,350,349,344
22973,101,234,288,401
23074,101,260,256,544
23176,102,389,259,605
23277,101,496,320,519
23378,101,504,331,418
23480,102,388,334,308
23580,100,280,316,321
23682,102,248,268,490
23783,101,290,252,602
23884,101,406,266,580
23986,102,480,302,505
24087,101,466,333,397
24188,101,369,347,326
24289,101,273,323,326
24390,101,200,278,446
24492,102,332,233,638
24593,101,454,289,572
24694,101,475,319,470
24796,102,439,349,368
24897,101,348,363,279
24997,100,261,319,359
25099,102,221,270,521
25200,101,373,247,633
