227745,360,374,426
227777,350,371,422
227810,340,358,437
227842,333,367,426
227874,325,360,440
227906,330,358,450
227939,333,370,443
227971,329,379,429
228003,341,384,437
228035,340,375,443
228068,335,374,445
228100,345,370,449
228132,362,379,447
228164,336,387,399
228197,319,368,422
228229,343,358,452
228261,305,341,439
228293,313,339,475
228326,348,363,484
228358,339,355,499
228390,370,345,542
228422,373,353,503
228455,377,342,503
228487,397,342,499
228519,370,318,503
228551,366,325,480
228583,365,321,498
228616,357,315,507
228647,356,325,490
228680,368,331,488
228712,377,347,471
228745,371,346,468
228776,384,344,501
228809,394,336,480
228841,372,339,473
228874,380,343,452
228905,379,349,437
228938,380,358,417
228970,376,369,411
229003,367,356,437
229035,370,371,424
229067,368,384,415
229099,348,375,429
229132,347,376,432
229164,328,370,430
229196,326,380,431
229228,323,374,435
229261,308,369,447
229293,320,375,454
229325,326,379,436
229357,318,383,424
229390,304,383,420
229422,317,378,437
229454,312,367,437
229486,310,367,429
229519,306,364,435
229551,325,359,459
229582,336,367,441
229615,317,374,437
229647,322,360,453
229680,338,360,471
229711,319,343,484
229744,322,356,467
229776,361,351,492
229809,336,335,492
229840,357,357,457
229873,384,355,470
229905,344,307,523
229938,356,313,500
229969,355,315,490
230002,343,304,510
230034,356,302,504
230067,338,314,492
230098,344,318,492
230131,355,329,487
230163,373,340,467
230196,364,341,478
230227,349,330,483
230260,349,330,468
230292,354,337,452
230325,358,347,450
230356,374,355,442
230389,374,347,451
230421,364,356,451
230454,352,352,442
230486,364,347,426
230518,356,355,423
230550,346,358,415
230583,336,350,444
230615,330,354,427
230646,316,359,429
230679,311,357,444
230711,317,355,439
230744,316,357,429
230775,309,362,430
230808,314,362,439
230840,325,361,439
230873,315,353,446
230904,313,353,453
230937,313,352,435
230969,323,349,446
231002,324,341,466
231033,323,349,433
231066,339,350,456
231098,333,343,466
231131,326,341,445
231162,349,343,479
231195,348,340,477
231227,325,333,459
231260,340,352,426
231291,367,338,485
231324,351,311,506
231356,331,328,468
231389,367,342,485
231420,371,333,502
231453,350,325,496
231485,353,322,494
231518,351,310,494
231549,350,313,480
231582,362,327,470
231614,370,333,465
231646,375,326,478
231678,367,327,479
231710,371,335,466
231743,388,337,476
231775,367,323,474
231808,365,330,472
231839,361,333,463
231872,376,337,457
231904,361,337,439
231937,351,345,444
231968,373,344,458
232001,358,326,446
