262048,323,357,451
262081,316,355,435
262113,310,355,443
262146,330,352,463
262177,340,349,462
262210,348,351,457
262242,346,352,476
262275,350,351,477
262306,345,352,464
262339,347,350,476
262371,371,345,494
262404,351,340,479
262435,360,341,491
262468,362,334,488
262500,358,335,485
262533,344,335,464
262564,359,330,485
262596,365,322,500
262629,355,329,491
262661,374,333,491
262693,375,337,480
262725,377,335,493
262758,376,332,492
262790,403,337,493
262822,387,331,475
262854,394,347,467
262887,384,352,454
262919,382,355,446
262951,373,354,439
262983,370,356,443
263016,368,353,434
263048,359,362,431
263080,352,353,423
263112,348,380,415
263145,338,368,417
263177,338,374,426
263209,334,372,435
263241,330,367,420
263274,329,374,420
263306,320,375,430
263339,329,376,424
263370,314,375,422
263403,314,376,428
263435,321,375,425
263468,309,365,446
263499,307,362,444
263532,292,359,447
263564,295,365,445
263597,293,371,449
263628,288,366,447
263660,293,360,442
263693,330,366,475
263725,314,345,496
263757,317,362,468
263789,336,371,450
263822,365,352,510
263854,339,336,500
263886,352,350,472
263918,391,349,498
263951,368,333,500
263983,373,333,497
264015,382,332,500
264047,367,327,482
264080,370,329,486
264112,369,329,485
264144,380,336,478
264176,374,336,481
264209,376,336,483
264241,385,337,482
264273,379,340,470
264305,381,345,469
264338,376,343,471
264370,376,356,468
264402,379,364,433
264434,381,361,450
264467,369,351,444
264499,368,361,432
264531,357,364,428
264563,343,361,415
264596,339,375,412
264628,341,371,423
264659,330,373,415
264692,316,365,417
264724,323,368,426
264757,324,372,431
264788,314,372,432
264821,321,368,440
264853,313,366,441
264886,321,368,454
264918,309,366,447
264950,297,374,424
264982,313,381,422
265015,304,375,442
265047,318,352,470
265079,311,357,453
265111,294,361,455
265144,302,360,461
265176,307,361,462
265208,307,355,477
265240,327,351,493
265273,328,356,470
265305,331,362,463
265337,336,355,471
265369,339,346,473
265402,339,343,477
265434,352,346,480
265466,335,337,472
265498,351,349,484
265531,354,349,477
265563,346,349,471
265595,341,337,486
265627,342,319,506
265660,335,319,505
265692,342,326,488
265723,368,334,495
265756,353,327,493
265788,354,329,478
265821,375,339,472
265852,375,328,492
265885,375,334,465
265917,353,346,441
265950,354,348,459
265981,368,348,461
266014,363,352,455
266046,357,346,451
266079,361,356,438
266110,357,351,446
266143,347,363,430
266175,364,371,414
266208,346,355,440
266240,332,360,421
266272,329,375,425
266304,318,372,425
